Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),Phasor-9 Name(upto 16-char),Phasor-9 Type(v/c),Phasor-9 PHNMR(scaling),Phasor-10 Name(upto 16-char),Phasor-10 Type(v/c),Phasor-10 PHNMR(scaling),Phasor-11 Name(upto 16-char),Phasor-11 Type(v/c),Phasor-11 PHNMR(scaling),Phasor-12 Name(upto 16-char),Phasor-12 Type(v/c),Phasor-12 PHNMR(scaling),Phasor-13 Name(upto 16-char),Phasor-13 Type(v/c),Phasor-13 PHNMR(scaling),Phasor-14 Name(upto 16-char),Phasor-14 Type(v/c),Phasor-14 PHNMR(scaling),Phasor-15 Name(upto 16-char),Phasor-15 Type(v/c),Phasor-15 PHNMR(scaling),Phasor-16 Name(upto 16-char),Phasor-16 Type(v/c),Phasor-16 PHNMR(scaling),Phasor-17 Name(upto 16-char),Phasor-17 Type(v/c),Phasor-17 PHNMR(scaling),Phasor-18 Name(upto 16-char),Phasor-18 Type(v/c),Phasor-18 PHNMR(scaling),Phasor-19 Name(upto 16-char),Phasor-19 Type(v/c),Phasor-19 PHNMR(scaling),Phasor-20 Name(upto 16-char),Phasor-20 Type(v/c),Phasor-20 PHNMR(scaling),
Configuration Field Inputs,50,50,20,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,I8,c,100,I9,c,100,I10,c,100,I11,c,100,I12,c,100,I13,c,100,I14,c,100,I15,c,100,I16,c,100,I17,c,100,I18,c,100,I19,c,100,I20,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Phasor-9 Magnitude,Phasor-9 Angle,Phasor-10 Magnitude,Phasor-10 Angle,Phasor-11 Magnitude,Phasor-11 Angle,Phasor-12 Magnitude,Phasor-12 Angle,Phasor-13 Magnitude,Phasor-13 Angle,Phasor-14 Magnitude,Phasor-14 Angle,Phasor-15 Magnitude,Phasor-15 Angle,Phasor-16 Magnitude,Phasor-16 Angle,Phasor-17 Magnitude,Phasor-17 Angle,Phasor-18 Magnitude,Phasor-18 Angle,Phasor-19 Magnitude,Phasor-19 Angle,Phasor-20 Magnitude,Phasor-20 Angle,Frequency,ROCOF,
 ,0.2,1.04535188575,-20.5803974401,0.25927632729,160.394190739,0.137537381282,156.434543761,0.1701262947,155.37024673,0.510841105496,145.737226595,0.046958985812,-155.489872165,0.122504643911,171.402554517,3.24712407458,176.599184934,0.0390663460717,-137.840227415,2.40093870691,-45.0311694583,7.2543981799,-37.0663769932,0.653510703965,175.141230527,0.119461412601,-39.4835480693,1.00102196089,175.740819538,17.9787993642,-36.7929055617,0.354298799921,-37.7488617959,1.14917860972,-38.8483389593,0.212397181813,-56.9567260017,0.0532106931129,-33.418330471,0.166262139112,161.189966121,49.9864963589,0.0255118533245,
 ,0.22,1.04520041657,-20.4377020305,0.264101304844,160.895965408,0.144041606154,157.539862106,0.178298166908,156.500661217,0.538141852602,147.678424661,0.0496188850846,-157.920282291,0.127243151933,171.634441758,3.34784572089,176.574702494,0.0400460518207,-139.876874355,2.40887830677,-44.9381134622,7.27090772008,-36.996746133,0.654382891019,175.272877996,0.119734191152,-39.437870295,1.01344444884,175.917896604,17.9623233541,-36.7622612581,0.35637226157,-37.6347836342,1.15711797817,-38.7295799441,0.212882374554,-56.8648042351,0.0548949579407,-33.1699691909,0.164723930474,161.246388944,49.9822451648,0.0310694357877,
 ,0.24,1.04503126027,-20.2568966989,0.268565394292,161.401941965,0.150010879456,158.562338171,0.185789698613,157.540682824,0.563293860752,149.37772471,0.0521454308141,-159.853867929,0.131254010514,171.886261482,3.43748665853,176.618651721,0.0410346234459,-141.662008816,2.41885330259,-44.8212402999,7.29275196564,-36.9061496872,0.655066902305,175.442956927,0.120175394896,-39.3610083045,1.02515443849,176.131480749,17.9563663803,-36.7022328983,0.359037442726,-37.4900058668,1.1671611785,-38.5833292668,0.21349726413,-56.7492262552,0.0570285575848,-32.8851472201,0.162781791175,161.323036588,49.977301217,0.0365664062622,
 ,0.26,1.04484421728,-20.0340745713,0.272608118594,161.911790679,0.155364885605,159.507243425,0.192498203526,158.496714835,0.585869338792,150.86167668,0.0544649274529,-161.355499752,0.134473094798,172.150871126,3.51465480911,176.727638352,0.0420031149305,-143.188216337,2.43104955124,-44.6781683988,7.32044641957,-36.7923021326,0.655573619365,175.655655474,0.120802746431,-39.2493538517,1.03597595,176.383999848,17.9621848158,-36.6090266688,0.362352040331,-37.3118735848,1.17950986726,-38.4073916554,0.214254094969,-56.6076113914,0.059656546895,-32.5665830209,0.160401740127,161.422413564,49.9717675627,0.0415031863647,
 ,0.28,1.04463932463,-19.7664802763,0.276180806206,162.425522563,0.160042572413,160.380841617,0.19834576379,159.375807054,0.605540792009,152.154861985,0.0565203195147,-162.482514175,0.136873703461,172.42501509,3.57847472833,176.898262883,0.0429240146518,-144.454125556,2.44558172792,-44.5071877744,7.35431875898,-36.6534679955,0.655927413564,175.914041065,0.121628040199,-39.1003130798,1.04575232151,176.676915243,17.9806454636,-36.4797644707,0.366353227947,-37.098766623,1.19429552544,-38.2004668088,0.215160638108,-56.4382587158,0.0628098560364,-32.2184918384,0.157564431549,161.546362601,49.9657837053,0.0455211737182,
 ,0.3,1.04441688717,-19.4525934921,0.27924744442,162.943043833,0.164001525748,161.188911784,0.203278668744,160.184344318,0.6220818836,153.278417816,0.0582702428204,-163.283798753,0.138465254578,172.708563117,3.62859028326,177.126947795,0.0437719193998,-145.462820933,2.46248897856,-44.3073063117,7.39449868789,-36.4885142553,0.656164419126,176.219959207,0.122656887845,-38.9123958351,1.05435108961,177.010617576,18.0122147277,-36.3125597536,0.371056783478,-36.8501280891,1.21157448609,-37.9621730231,0.216219898858,-56.2401941358,0.0665042377125,-31.8458759321,0.154265938069,161.696013383,49.9595097303,0.0483897424675,
 ,0.32,1.04417748515,-19.0921686003,0.281785270828,163.463965813,0.167217655092,161.936324033,0.207266910907,160.92769553,0.635365688436,154.24996507,0.0596881225244,-163.800344318,0.13929092464,173.003761568,3.66515505645,177.409855188,0.0445242439481,-146.22062295,2.48173348625,-44.0782676327,7.44091373507,-36.2969376617,0.656329937539,176.573977893,0.123888537705,-38.6852572643,1.06166860732,177.38440983,18.056948394,-36.1065662222,0.376456492247,-36.5664493897,1.23132564556,-37.693022097,0.217429999324,-56.0131882829,0.070739753899,-31.4538602823,0.150517924639,161.871749761,49.9531165647,0.0499728526249,
 ,0.34,1.04392198513,-18.6862322606,0.283784975427,163.987519744,0.169684697722,162.626953035,0.210303474363,161.610167935,0.645360949854,155.083967496,0.0607611746919,-164.066446643,0.139423995042,173.314388801,3.6888054378,177.742809124,0.0451618701538,-146.736206567,2.50320186831,-43.8205441781,7.49329221027,-36.0788719745,0.656475166041,176.9753755,0.125315919579,-38.4196867626,1.06763393198,177.796543325,18.114495387,-35.8619921325,0.382524271579,-36.2492076781,1.25345079202,-37.3943561842,0.218784235881,-55.7577483995,0.075500786155,-31.047218279,0.146347244918,162.073201472,49.9467786683,0.0502054192975,
 ,0.36,1.04365156008,-18.2370407433,0.285250492278,164.512530139,0.171413436287,163.263728572,0.212403285409,162.235084739,0.652126477707,155.792231524,0.0614892801718,-164.111095757,0.138962898567,173.644857466,3.70061595409,178.121220439,0.0456697151618,-147.020000334,2.5267092559,-43.535307849,7.55117319601,-35.8350765111,0.656653470603,177.42216986,0.126925919566,-38.1175473076,1.07221166667,178.244291679,18.1841166561,-35.5800776498,0.389211040905,-35.9007643201,1.27777745478,-37.068255876,0.220271304444,-55.4750862982,0.0807565491589,-30.6301330399,0.141794993766,162.299262582,49.9406678041,0.0490794778152,
 ,0.38,1.04336771686,-17.7480000247,0.286198381538,165.037426739,0.172430576111,163.848741548,0.213601741453,162.804911701,0.655803664076,156.384435744,0.0618837090374,-163.959324724,0.138025059748,173.999346979,3.70203795307,178.540026494,0.0460372020989,-147.083803248,2.55200579985,-43.2243808197,7.61392297539,-35.5669069459,0.656916448913,177.911185026,0.12869986607,-37.7816718703,1.07540351278,178.724053347,18.2647181191,-35.2630358453,0.396448279394,-35.5242357745,1.30406409229,-36.7174289636,0.221875678855,-55.1670649452,0.0864620704621,-30.2061631962,0.136915066059,162.548137419,49.9349474878,0.046635741602,
 ,0.4,1.04307232491,-17.2235528445,0.286656823519,165.560284249,0.172777278605,164.383376186,0.213952804368,163.32140645,0.656607194891,156.868655124,0.0619656915794,-163.633418447,0.136739754608,174.381065365,3.69482400224,178.993661639,0.0462586138928,-146.940567797,2.57878524599,-42.8901695,7.68075699121,-35.27626953,0.657310039604,178.438150875,0.130614199611,-37.4157259997,1.07724836673,179.231475114,18.3548957485,-34.9139603327,0.404150184789,-35.1233483637,1.33200735144,-36.3450887138,0.223578121122,-54.8361268004,0.0925595836463,-29.7783417637,0.131772289064,162.817413763,49.9297680696,0.0429573001843,
 ,0.42,1.04276763819,-16.6690379834,0.286664264218,166.078882007,0.172507379129,164.868460132,0.213526689329,163.78578363,0.654814148125,157.251873353,0.061764848691,-163.153949039,0.135240353993,174.791732358,3.68094126617,179.476072338,0.0463333066452,-146.604315076,2.60669514236,-42.5355849511,7.75076620275,-34.9655603988,0.657870929461,178.997829719,0.132641292544,-37.0240470504,1.07782087457,179.761589616,18.4529903413,-34.5367045067,0.41221632666,-34.7022872764,1.3612510555,-35.954829179,0.225356297012,-54.4852075766,0.0989802686737,-29.3493323546,0.126440210967,163.104162385,49.9252625195,0.0381637199214,
