Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),Phasor-9 Name(upto 16-char),Phasor-9 Type(v/c),Phasor-9 PHNMR(scaling),Phasor-10 Name(upto 16-char),Phasor-10 Type(v/c),Phasor-10 PHNMR(scaling),Phasor-11 Name(upto 16-char),Phasor-11 Type(v/c),Phasor-11 PHNMR(scaling),Phasor-12 Name(upto 16-char),Phasor-12 Type(v/c),Phasor-12 PHNMR(scaling),Phasor-13 Name(upto 16-char),Phasor-13 Type(v/c),Phasor-13 PHNMR(scaling),Phasor-14 Name(upto 16-char),Phasor-14 Type(v/c),Phasor-14 PHNMR(scaling),Phasor-15 Name(upto 16-char),Phasor-15 Type(v/c),Phasor-15 PHNMR(scaling),Phasor-16 Name(upto 16-char),Phasor-16 Type(v/c),Phasor-16 PHNMR(scaling),Phasor-17 Name(upto 16-char),Phasor-17 Type(v/c),Phasor-17 PHNMR(scaling),Phasor-18 Name(upto 16-char),Phasor-18 Type(v/c),Phasor-18 PHNMR(scaling),
Configuration Field Inputs,50,50,18,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,I8,c,100,I9,c,100,I10,c,100,I11,c,100,I12,c,100,I13,c,100,I14,c,100,I15,c,100,I16,c,100,I17,c,100,I18,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Phasor-9 Magnitude,Phasor-9 Angle,Phasor-10 Magnitude,Phasor-10 Angle,Phasor-11 Magnitude,Phasor-11 Angle,Phasor-12 Magnitude,Phasor-12 Angle,Phasor-13 Magnitude,Phasor-13 Angle,Phasor-14 Magnitude,Phasor-14 Angle,Phasor-15 Magnitude,Phasor-15 Angle,Phasor-16 Magnitude,Phasor-16 Angle,Phasor-17 Magnitude,Phasor-17 Angle,Phasor-18 Magnitude,Phasor-18 Angle,Frequency,ROCOF,
 ,8.9,1.04201774682,15.6091179041,0.0177649754328,-152.978248892,25.2450861338,-14.8088968702,1.10797593324,-7.39716077135,0.0184517498284,176.636609824,0.170900608187,-155.3381691,0.14837853013,-3.50911622228,0.417726854609,-155.334716611,0.271806269158,-8.24389834112,0.0622835567579,-16.3806639524,31.7050340695,-6.30760729527,7.03101589483,-160.920459111,0.0369936207412,175.239700613,0.450241984791,-164.186249736,19.2788698658,-155.728971931,0.251401025048,178.233179465,0.323874541793,-175.163382555,17.757618164,173.921770139,50.0015707256,-0.0013891674173,
 ,8.92,1.04200675696,15.5971131052,0.0181639610545,-153.290633091,25.2948472391,-14.8506916435,1.11134516192,-7.44597808424,0.0170791368339,175.565489663,0.169735543028,-155.381427555,0.149388977274,-3.5372984488,0.416514453041,-155.357388958,0.274371101024,-8.21582875252,0.0627319108708,-16.4192452853,31.7695240182,-6.35294142813,7.02665675809,-160.940010377,0.0368666326757,175.121882639,0.453201819723,-164.196508811,19.4308517733,-155.740166613,0.253651928539,178.285578105,0.325727333696,-175.121076547,17.8262706841,174.036886773,50.0016312272,-0.000786452704344,
 ,8.94,1.04199502571,15.5853969348,0.0185520473256,-153.579453612,25.347261553,-14.8938844164,1.11461496173,-7.49829823438,0.0158719687067,174.494002632,0.168772864715,-155.418227433,0.150284819649,-3.57946723791,0.415566345902,-155.377597274,0.276646129699,-8.20303891112,0.0632047704025,-16.4594151171,31.8433725985,-6.40264749363,7.02707901349,-160.952888821,0.0367789766789,175.032256692,0.456175141101,-164.205874559,19.5658179604,-155.750851071,0.255859595003,178.33689721,0.327609170722,-175.077814901,17.8965408569,174.154505023,50.0016250826,-0.000232536735599,
 ,8.96,1.04198263427,15.5743647322,0.0189260117993,-153.844597283,25.4023407503,-14.9381019882,1.1177699249,-7.55377857341,0.0148445356475,173.471989927,0.16803659813,-155.447645668,0.151057866306,-3.63527647099,0.414881965777,-155.395000529,0.27860479799,-8.20525769079,0.0637028169172,-16.5008998264,31.9258619818,-6.45598256006,7.03224630872,-160.95874675,0.0367327209241,174.973019065,0.459165243642,-164.213782524,19.6818466059,-155.761022759,0.258017493467,178.38736993,0.329521871949,-175.033126455,17.9682209553,174.274596866,50.0015601679,0.000263430449936,
 ,8.98,1.04196968299,15.5643464605,0.0192826916584,-154.086161961,25.4600220646,-14.9829914456,1.12079252824,-7.61207943361,0.0140107401317,172.565583012,0.16754586356,-155.468980841,0.151700211533,-3.70435804467,0.414462268945,-155.409295948,0.280220666938,-8.22228813394,0.0642262811668,-16.5434670615,32.0159908807,-6.51212813383,7.04204804254,-160.957404846,0.0367293746632,174.945751853,0.462177101522,-164.21971812,19.7774430351,-155.770704693,0.260120162245,178.437196724,0.331467660744,-174.986591528,18.0411047458,174.397083823,50.0014451468,0.000694231908481,
 ,9.0,1.04195628919,15.5556040082,0.0196189763974,-154.304381026,25.5201590999,-15.0282165217,1.12366345713,-7.67286215947,0.0133836550808,171.852626045,0.167314185309,-155.481748016,0.152204431534,-3.78633693372,0.414310644552,-155.420212362,0.281468313831,-8.25401305697,0.0647749214447,-16.5869239483,32.1125027365,-6.5702061563,7.05630614668,-160.948844957,0.0367698660975,174.951393039,0.465216646396,-164.223225674,19.8515659281,-155.779927206,0.262163223148,178.486542404,0.333449080216,-174.937847772,18.1149898055,174.52183879,50.0012891945,0.00105475558102,
 ,9.02,1.04194258466,15.5483305888,0.019931828933,-154.499575243,25.5825144769,-15.0734529011,1.12636207736,-7.73578632344,0.0129752173107,171.411820427,0.1673490255,-155.485668426,0.152563828658,-3.88084308337,0.414433482216,-155.427503394,0.282324378178,-8.30039817129,0.0653480116905,-16.6311135521,32.2139222721,-6.62929707365,7.0747829084,-160.933199193,0.0368545307995,174.99022818,0.468289970816,-164.223917407,19.9036431764,-155.788713067,0.264143365008,178.535534385,0.335468882998,-174.886594718,18.1896790698,174.648688127,50.0011017123,0.00134210285821,
 ,9.04,1.04192871291,15.5426522153,0.0202183399783,-154.672128377,25.6467548588,-15.1183828596,1.12886703334,-7.80050627126,0.0127960487881,171.306488975,0.167651563838,-155.480657398,0.152772712221,-3.98751900596,0.414840330732,-155.43094114,0.282768701571,-8.36149191728,0.0659443394912,-16.6759097673,32.3185990216,-6.68845934865,7.09718951078,-160.910735865,0.0369831101149,175.061902266,0.471402493393,-164.221482115,19.93357722,-155.79706652,0.266058297609,178.584262154,0.337529896691,-174.832596952,18.264981561,174.77741395,50.0008920405,0.00155563195545,
 ,9.06,1.04191482611,15.5386311733,0.0204758163676,-154.82248214,25.7124488532,-15.1626896661,1.13115694491,-7.8666671153,0.0128552635831,171.56749995,0.168216730747,-155.466812871,0.152826701724,-4.10602194011,0.415543613172,-155.430311004,0.282785499205,-8.43742070946,0.0665622139052,-16.7212108686,32.4247562246,-6.74674972394,7.12319495878,-160.881842892,0.0371547587996,175.16544965,0.474558125789,-164.215693211,19.9417399182,-155.804966474,0.267906677905,178.632777955,0.339634867091,-174.775685938,18.3407122841,174.907756603,50.000669178,0.0016969361189,
 ,9.08,1.04190108202,15.5362713557,0.0207018994879,-154.951145864,25.7790682135,-15.2060521877,1.13321116969,-7.93390027191,0.0131600371157,172.182413245,0.169033487514,-155.444405304,0.15272303589,-4.23601949287,0.416557899649,-155.42540833,0.282364496219,-8.52837786535,0.0671994828204,-16.7669319987,32.5305433159,-6.80324351768,7.15243506285,-160.847009359,0.0373680610238,175.299339552,0.47775848362,-164.206415627,19.9289572194,-155.812363794,0.269688011241,178.681098616,0.34178628217,-174.715760514,18.4166913157,175.039417319,50.0004415173,0.00176975856719,
 ,9.1,1.04188764068,15.5355252761,0.0208947055636,-155.058716593,25.8459926529,-15.2481401262,1.13501059496,-8.00181863519,0.013714791595,173.096539625,0.17008533388,-155.413868242,0.152460869393,-4.3771778514,0.417898775481,-155.416037367,0.281501961179,-8.63460422323,0.0678535593573,-16.812996899,32.6340901609,-6.85705423491,7.18452116797,-160.806805874,0.0376210538145,175.461534556,0.481002183241,-164.193611061,19.8964840954,-155.819182391,0.271402530898,178.729208477,0.343986180546,-174.652786103,18.4927421476,175.172061087,50.0002166005,0.0017798477993,
 ,9.12,1.04187466119,15.5363025314,0.0210529757921,-155.145905967,25.9125184571,-15.2886102813,1.13653842121,-8.07001150748,0.0145200764203,174.226116406,0.171351011629,-155.375787601,0.152041538581,-4.52914194724,0.419581376717,-155.402013011,0.280201571932,-8.75635843317,0.0685214566358,-16.8593292056,32.7335611807,-6.90735181283,7.21904834451,-160.761864414,0.0379112570383,175.649559494,0.484284264087,-164.177340944,19.8459703973,-155.825323581,0.273051059918,178.777063273,0.346235948982,-174.586792728,18.5686893825,175.305319789,50.0000009045,0.00173475843136,
 ,9.14,1.04186229833,15.538479445,0.0211762216994,-155.213571082,25.9778709294,-15.3271041762,1.13778090046,-8.13803947194,0.0155714348009,175.47778446,0.172805362986,-155.330887291,0.151468777973,-4.69150740611,0.421618694356,-155.383165614,0.278475055535,-8.89387521139,0.0691998300544,-16.9058436327,32.8272075744,-6.95337888197,7.25560279829,-160.712858269,0.0382357091452,175.86057808,0.48759577172,-164.15776658,19.779418465,-155.830672977,0.274634859555,178.824594872,0.348536114152,-174.517871915,18.6443559083,175.438795645,49.9997996604,0.00164360403463,
 ,9.16,1.04185069941,15.541909597,0.0212648499396,-155.262747091,26.0412205384,-15.3632473065,1.13872799412,-8.20542949238,0.01685858527,176.766398009,0.174420295617,-155.28000914,0.150748870759,-4.86378473156,0.424019770697,-155.359349013,0.276342553567,-9.04731054271,0.0698850260834,-16.9524373567,32.9134159777,-6.9944645158,7.29376830775,-160.660482663,0.0385910080822,176.091474638,0.490923530127,-164.135145958,19.699133486,-155.835108992,0.276155469068,178.871716707,0.350886134535,-174.446172588,18.7195597056,175.572065035,49.999616711,0.00151676952698,
