Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),Phasor-9 Name(upto 16-char),Phasor-9 Type(v/c),Phasor-9 PHNMR(scaling),Phasor-10 Name(upto 16-char),Phasor-10 Type(v/c),Phasor-10 PHNMR(scaling),Phasor-11 Name(upto 16-char),Phasor-11 Type(v/c),Phasor-11 PHNMR(scaling),Phasor-12 Name(upto 16-char),Phasor-12 Type(v/c),Phasor-12 PHNMR(scaling),Phasor-13 Name(upto 16-char),Phasor-13 Type(v/c),Phasor-13 PHNMR(scaling),Phasor-14 Name(upto 16-char),Phasor-14 Type(v/c),Phasor-14 PHNMR(scaling),Phasor-15 Name(upto 16-char),Phasor-15 Type(v/c),Phasor-15 PHNMR(scaling),Phasor-16 Name(upto 16-char),Phasor-16 Type(v/c),Phasor-16 PHNMR(scaling),Phasor-17 Name(upto 16-char),Phasor-17 Type(v/c),Phasor-17 PHNMR(scaling),
Configuration Field Inputs,50,50,17,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,I8,c,100,I9,c,100,I10,c,100,I11,c,100,I12,c,100,I13,c,100,I14,c,100,I15,c,100,I16,c,100,I17,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Phasor-9 Magnitude,Phasor-9 Angle,Phasor-10 Magnitude,Phasor-10 Angle,Phasor-11 Magnitude,Phasor-11 Angle,Phasor-12 Magnitude,Phasor-12 Angle,Phasor-13 Magnitude,Phasor-13 Angle,Phasor-14 Magnitude,Phasor-14 Angle,Phasor-15 Magnitude,Phasor-15 Angle,Phasor-16 Magnitude,Phasor-16 Angle,Phasor-17 Magnitude,Phasor-17 Angle,Frequency,ROCOF,
 ,0.4,1.04173356653,-7.16010723332,0.0350512474742,157.301747632,0.0223644683016,-27.2082958595,0.374461842696,-44.9254989979,1.6812568807,-33.5477337676,0.131772289064,-17.1825862372,0.554855221872,-169.687547115,0.356044925067,-30.2299744834,1.24599414622,-172.239559888,0.786478253763,-30.6384401167,0.261136361782,-40.9662486727,7.82571307635,-20.4720737264,0.0729515717405,30.5414941688,1.27902527689,-18.4519131093,0.0590885299027,-64.5741167533,0.00681276979401,-8.25344177088,1.71346783813,41.3337167572,49.9826457194,0.0162229551527,
 ,0.42,1.04168176128,-7.01206137546,0.0367184469043,158.382285244,0.0222771856331,-27.0748707605,0.375021077915,-44.8160963822,1.67785342892,-33.4578901485,0.126440210967,-16.8958376154,0.583132892443,-170.115590072,0.353368636416,-30.1659967905,1.29130767001,-172.321553517,0.774843938716,-30.5695882842,0.261844518569,-40.8826696239,7.88363255773,-20.3818195081,0.0692396740862,32.8355575397,1.2909349897,-18.2740348294,0.0607448034425,-62.5955210872,0.00715629218654,-8.75523198523,1.73211804569,40.5977047375,49.9805043737,0.0167544439909,
 ,0.44,1.04162385765,-6.84837563295,0.0383186588958,159.363516937,0.0222034098944,-26.9208646627,0.375616663806,-44.6934215349,1.67453120014,-33.3567201389,0.120998640527,-16.5949386349,0.612412389445,-170.467863322,0.350710910971,-30.0925758788,1.33503898028,-172.355311891,0.763089754153,-30.4940814393,0.262611524697,-40.7886917034,7.94698743825,-20.2812719535,0.0656254955546,35.3458006316,1.30365990209,-18.0808239253,0.0626402567775,-60.5347833188,0.00753435642161,-9.24326531774,1.75291007192,39.8152399832,49.9783441969,0.017029886789,
 ,0.46,1.04155999485,-6.66931608316,0.0398383921238,160.257150889,0.0221462581431,-26.7457356003,0.37624338849,-44.5573667246,1.67134985353,-33.2439714622,0.115531041149,-16.2834572202,0.642275820272,-170.742568353,0.348111837764,-30.0094142619,1.37678303679,-172.344639736,0.751387356455,-30.4119707076,0.26343158731,-40.6840417754,8.01546513096,-20.1704010456,0.0621623077459,38.0644710379,1.31708177794,-17.8731547214,0.0647818352532,-58.4243339726,0.00794564153924,-9.70890846768,1.77582584245,38.9956487496,49.9762025131,0.0170222169548,
 ,0.48,1.04149049638,-6.47544444519,0.0412653798914,161.07272366,0.0221082111001,-26.5494571938,0.376894902379,-44.4080452441,1.66836457285,-33.1194947701,0.110121886299,-15.9650420894,0.672266926788,-170.940832049,0.345610364482,-29.916163457,1.41617664988,-172.293598199,0.739908468145,-30.3230561696,0.264297123947,-40.5685823942,8.08861249967,-20.0493401828,0.0589001441227,40.9724053067,1.33105946468,-17.6521565884,0.0671698843918,-56.2973675747,0.00838801787524,-10.1451303975,1.80079163375,38.14964781,49.9741191029,0.0167094513501,
 ,0.5,1.04141588113,-6.26762641175,0.0425887915822,161.817895786,0.022090934441,-26.3325952828,0.377563762607,-44.2458031989,1.66562381543,-32.9832572185,0.104854081757,-15.6432451734,0.701904493384,-171.066185902,0.343243035468,-29.8124286452,1.45290519815,-172.206408862,0.728819606705,-30.2268568196,0.26519880208,-40.4423236226,8.16583404933,-19.9183907977,0.055883112556,44.0361884503,1.34543080176,-17.4191993875,0.0697971836561,-54.1859361362,0.00885853483489,-10.5466320636,1.8276713814,37.2889757383,49.9721353326,0.0160759143303,
 ,0.52,1.04133686797,-6.04703235258,0.0437994022689,162.498719749,0.0220951451146,-26.0963569228,0.378241499028,-44.0712249323,1.66316735425,-32.8353580527,0.0998065536357,-15.3213413502,0.730696759021,-171.12401696,0.34104286008,-29.6977885882,1.48670646937,-172.087373823,0.7182772228,-30.1226146041,0.266125631532,-40.3054317634,8.24639380948,-19.7780222549,0.0531467961685,47.2059825142,1.36001503905,-17.1758768489,0.0726483519495,-52.1193258192,0.00935343164135,-10.9098213805,1.85626177255,36.4259787304,49.9702931584,0.0151133040985,
 ,0.54,1.04125437308,-5.81512982017,0.0448897151765,163.119885278,0.0221205336713,-25.8426031107,0.378918701783,-43.8851315233,1.66102469544,-32.6760449402,0.0950520898885,-15.0021598598,0.758156260718,-171.121038081,0.339038354173,-29.5718301589,1.51737177463,-171.940810806,0.708423432832,-30.0093363525,0.267065110282,-40.1582345384,8.32942113017,-19.628866925,0.0507160787663,50.4148333342,1.3746157284,-16.9239879799,0.0756996671394,-50.1228846923,0.00986817165751,-11.2326750759,1.88628972569,35.5731827665,49.9686340369,0.0138215458499,
 ,0.56,1.0411694999,-5.57366755717,0.0458540346397,163.684945657,0.0221657495202,-25.5738208557,0.379585130211,-43.688572066,1.65921393317,-32.5057293585,0.0906555078767,-14.6879469493,0.78381453762,-171.064804839,0.337252787546,-29.4341949475,1.54474466026,-171.771000835,0.699382494109,-29.8858732144,0.268003422059,-40.0012223629,8.41392047967,-19.4717105288,0.048603810887,53.5802242395,1.38902404495,-16.6655163385,0.0789192933341,-48.2173726616,0.0103975001128,-11.5145306807,1.91741272764,34.742884609,49.9671977754,0.0122093890313,
 ,0.58,1.04108352153,-5.32465098896,0.0466884899284,164.196527461,0.0222284512963,-25.2930556261,0.38022984266,-43.4828077207,1.6577410814,-32.3249990951,0.0866722024667,-14.3802833547,0.807236148092,-170.963291741,0.335703658597,-29.2846336954,1.5687176788,-171.582145322,0.691258125883,-29.7510324097,0.268925682103,-39.835045474,8.49878519836,-19.3074780226,0.046810713756,56.6082692892,1.40302248999,-16.4026068605,0.0822678723866,-46.4188098662,0.0109355243604,-11.7558462295,1.94922231235,33.9467906174,49.9660213615,0.0102947185826,
