Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),
Configuration Field Inputs,50,50,2,0,0,15,V1,v,10000,I2,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Frequency,ROCOF,
 ,2.32,1.10842462332,-6.64007285209,0.0624370451221,114.754616036,49.9741828896,-0.00658873497632,
 ,2.34,1.10812270578,-6.46513669918,0.0624492454941,115.117612195,49.9751899886,-0.0075117417836,
 ,2.36,1.10790035063,-6.29773085341,0.0624844549381,115.511523302,49.9762222944,-0.00795452567526,
 ,2.38,1.10776449764,-6.13744278439,0.062542965314,115.930191426,49.9772251116,-0.00794767224126,
 ,2.4,1.10772026774,-5.98352799155,0.0626244172186,116.366943162,49.978149457,-0.00753155835879,
 ,2.42,1.10777057846,-5.83495979813,0.0627276425069,116.814757285,49.9789528673,-0.00675410464583,
 ,2.44,1.10791577094,-5.6904819074,0.0628505542046,117.266457767,49.9795999234,-0.0056685340898,
 ,2.46,1.10815328914,-5.54866195716,0.0629901023936,117.714923061,49.9800625152,-0.00433125113862,
 ,2.48,1.10847745898,-5.40794453404,0.0631423078496,118.153300417,49.9803198757,-0.00279991054686,
 ,2.5,1.10887941417,-5.26670232936,0.0633023770843,118.575213107,49.9803584133,-0.00113171039935,
 ,2.52,1.10934720485,-5.12328433519,0.0634648941363,118.974949172,49.9801713759,0.000618074026218,
 ,2.54,1.10986610764,-4.97606020032,0.0636240768733,119.347622316,49.9797583775,0.00239730472917,
 ,2.56,1.11041913408,-4.82346009197,0.0637740793277,119.689298671,49.9791248211,0.00415793618452,
 ,2.58,1.11098771267,-4.66400963467,0.0639093170136,119.997086673,49.978281251,0.005856709285,
 ,2.6,1.11155250144,-4.4963597182,0.0640247894523,120.269190728,49.9772426663,0.00745558866373,
 ,2.62,1.11209427429,-4.3193111815,0.0641163734262,120.504932088,49.9760278257,0.0089219528153,
 ,2.64,1.11259481696,-4.13183458652,0.0641810619648,120.704741891,49.9746585736,0.0102285510111,
 ,2.66,1.11303776555,-3.9330854785,0.0642171278762,120.870131415,49.9731592103,0.0113532518417,
 ,2.68,1.11340932278,-3.722415653,0.0642241967261,121.003643282,49.9715559247,0.0122786303965,
 ,2.7,1.11369879339,-3.49938097713,0.0642032221787,121.108784883,49.9698762971,0.0129914710586,
 ,2.72,1.11389889164,-3.26374622152,0.0641563658356,121.189942684,49.9681488608,0.0134822870649,
 ,2.74,1.11400579075,-3.01548716862,0.0640867930892,121.252273879,49.9664027035,0.013744959529,
 ,2.76,1.11401890654,-2.75479002779,0.0639984048344,121.301571255,49.9646670786,0.0137765677863,
 ,2.78,1.1139404356,-2.48204798726,0.063895530986,121.344098295,49.962970998,0.0135774239281,
 ,2.8,1.11377469771,-2.19785463933,0.0637826147566,121.38639456,49.9613427936,0.0131512546442,
 ,2.82,1.11352736046,-1.90299406923,0.0636639162093,121.435055506,49.9598096464,0.0125054163922,
 ,2.84,1.11320464359,-1.59842759282,0.0635432599268,121.496495227,49.9583971083,0.0116510058922,
 ,2.86,1.11281260816,-1.28527741121,0.0634238454939,121.576704035,49.9571286501,0.0106027478634,
 ,2.88,1.11235662632,-0.964807733485,0.0633081319011,121.681014743,49.9560252767,0.00937860342134,
 ,2.9,1.11184110236,-0.638404105698,0.0631977989938,121.813891519,49.9551052392,0.00799912962925,
 ,2.92,1.11126947784,-0.307551703853,0.0630937815844,121.978753611,49.9543838532,0.00648670591953,
 ,2.94,1.11064451037,0.0261868163895,0.0629963653803,122.177843401,49.9538734113,0.00486479455785,
 ,2.96,1.10996877423,0.361193611688,0.0629053288573,122.412144908,49.9535831518,0.00315739514579,
 ,2.98,1.10924530002,0.695818084547,0.0628201119126,122.681355427,49.9535192444,0.00138878200282,
 ,3.0,1.10847825383,1.0283996341,0.0627399908666,122.983909946,49.9536847584,-0.000416500787686,
 ,3.02,1.10767355642,1.35729085373,0.0626642403858,123.317055424,49.9540796077,-0.00223352656615,
 ,3.04,1.10683935726,1.68088102312,0.0625922662235,123.676969785,49.9547004968,-0.00403696424382,
 ,3.06,1.10598630277,1.99761930301,0.0625236979827,124.05891861,49.9555409168,-0.00580134967405,
 ,3.08,1.10512756733,2.30603658334,0.0624584376437,124.45744072,49.956591254,-0.00750177189649,
 ,3.1,1.10427864437,2.60476460756,0.0623966662417,124.866552384,49.9578390618,-0.00911497089654,
 ,3.12,1.10345691953,2.89255090327,0.0623388166231,125.27995895,49.9592695269,-0.0106207166882,
 ,3.14,1.10268106597,3.16826823505,0.0622855236512,125.691262742,49.9608661212,-0.0120032466384,
 ,3.16,1.10197031395,3.43091774389,0.0622375640568,126.094157351,49.9626113991,-0.01325249632,
 ,3.18,1.10134365143,3.67962559086,0.0621957964371,126.482600971,49.9644878641,-0.0143648683254,
