Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),Phasor-9 Name(upto 16-char),Phasor-9 Type(v/c),Phasor-9 PHNMR(scaling),Phasor-10 Name(upto 16-char),Phasor-10 Type(v/c),Phasor-10 PHNMR(scaling),Phasor-11 Name(upto 16-char),Phasor-11 Type(v/c),Phasor-11 PHNMR(scaling),Phasor-12 Name(upto 16-char),Phasor-12 Type(v/c),Phasor-12 PHNMR(scaling),Phasor-13 Name(upto 16-char),Phasor-13 Type(v/c),Phasor-13 PHNMR(scaling),Phasor-14 Name(upto 16-char),Phasor-14 Type(v/c),Phasor-14 PHNMR(scaling),Phasor-15 Name(upto 16-char),Phasor-15 Type(v/c),Phasor-15 PHNMR(scaling),Phasor-16 Name(upto 16-char),Phasor-16 Type(v/c),Phasor-16 PHNMR(scaling),Phasor-17 Name(upto 16-char),Phasor-17 Type(v/c),Phasor-17 PHNMR(scaling),Phasor-18 Name(upto 16-char),Phasor-18 Type(v/c),Phasor-18 PHNMR(scaling),Phasor-19 Name(upto 16-char),Phasor-19 Type(v/c),Phasor-19 PHNMR(scaling),Phasor-20 Name(upto 16-char),Phasor-20 Type(v/c),Phasor-20 PHNMR(scaling),Phasor-21 Name(upto 16-char),Phasor-21 Type(v/c),Phasor-21 PHNMR(scaling),
Configuration Field Inputs,50,50,21,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,I8,c,100,I9,c,100,I10,c,100,I11,c,100,I12,c,100,I13,c,100,I14,c,100,I15,c,100,I16,c,100,I17,c,100,I18,c,100,I19,c,100,I20,c,100,I21,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Phasor-9 Magnitude,Phasor-9 Angle,Phasor-10 Magnitude,Phasor-10 Angle,Phasor-11 Magnitude,Phasor-11 Angle,Phasor-12 Magnitude,Phasor-12 Angle,Phasor-13 Magnitude,Phasor-13 Angle,Phasor-14 Magnitude,Phasor-14 Angle,Phasor-15 Magnitude,Phasor-15 Angle,Phasor-16 Magnitude,Phasor-16 Angle,Phasor-17 Magnitude,Phasor-17 Angle,Phasor-18 Magnitude,Phasor-18 Angle,Phasor-19 Magnitude,Phasor-19 Angle,Phasor-20 Magnitude,Phasor-20 Angle,Phasor-21 Magnitude,Phasor-21 Angle,Frequency,ROCOF,
 ,5.5,1.15501045769,11.2301560884,0.939541639329,-99.7613080408,1.93888322908,-163.453968519,0.101125762166,-120.056456113,11.245840378,-118.431359446,0.823860530079,-51.8794702872,0.0586741121694,-51.0033210552,0.06509132909,-61.8681531327,1.86012381577,-50.027922864,0.495729522466,-30.298710581,0.106452463241,-23.2427426862,0.106244057516,-128.917100366,0.122941437575,-131.52755114,0.0484213048206,-27.6105536584,0.427815834662,-27.5902224873,18.9347557367,-22.8333655876,1.57728149602,-109.023191037,0.00711295505094,-86.0445601713,7.28254693677,-64.6473067493,7.01870336741,-94.62240748,0.82403871778,-152.84499683,49.9958412272,0.00614183545347,
 ,5.52,1.1550202585,11.2703785265,0.942258029078,-100.648697394,1.94059284652,-163.416282042,0.102171977385,-120.975114957,11.318374961,-118.934160043,0.822214753341,-52.0086170616,0.0588033043551,-50.8555082908,0.0652781350617,-61.5963315962,1.86297526019,-49.9021515047,0.494703493457,-30.2211609819,0.10632704705,-23.1586207177,0.105750787268,-128.697041887,0.122042110468,-131.251360333,0.0484193158645,-27.5237369996,0.426745647143,-27.5106000217,18.8984809348,-22.8220152052,1.57385864271,-108.780594213,0.00710413354108,-84.9860355807,7.30378736861,-64.2756612498,7.03295787931,-95.0557568133,0.829708200912,-152.843066532,49.9948831334,0.0071266007754,
 ,5.54,1.15502914017,11.3186954311,0.945119543831,-101.485743834,1.94131572241,-163.368886684,0.103161081285,-121.78897469,11.3761336179,-119.306136592,0.820825263334,-52.103558751,0.058873374244,-50.7503677191,0.0654177707671,-61.3748816002,1.8646732307,-49.8029205898,0.493632115785,-30.1338791745,0.106204738921,-23.0641264712,0.105310753856,-128.485117465,0.121085536415,-130.946673778,0.0484332997951,-27.4220779892,0.425655444498,-27.4220413777,18.8669714739,-22.7985400479,1.57097602327,-108.560977808,0.00709689267971,-83.9622874715,7.32002828973,-63.9771178228,7.04685970312,-95.4502843376,0.834915259362,-152.828490424,49.9938149567,0.00803774126267,
 ,5.56,1.15503696136,11.375761234,0.948069222706,-102.265721543,1.94101015433,-163.311087379,0.104079671518,-122.497784586,11.4174946792,-119.543111974,0.8197163506,-52.1605536551,0.0588856716465,-50.6854709782,0.06551172262,-61.1994680946,1.86537163356,-49.7246412531,0.492535882783,-30.0369620422,0.106089701661,-22.9592121764,0.104914281777,-128.277322934,0.120074485743,-130.612231011,0.0484671148021,-27.3043053078,0.424565986356,-27.3246670646,18.8405792938,-22.7619553594,1.56859598511,-108.362124807,0.00709102016198,-82.9662490331,7.33099203764,-63.7520245058,7.06001768072,-95.7969488917,0.839614482607,-152.800794447,49.9926496121,0.00885592415999,
 ,5.58,1.15504360329,11.4421149532,0.951048103631,-102.982953283,1.93964679387,-163.242302839,0.104915811519,-123.101988686,11.4412776073,-119.642149547,0.818913452355,-52.176009808,0.058843242039,-50.6575381501,0.0655628879193,-61.0648534125,1.86522505251,-49.6620288459,0.491435663999,-29.9306297454,0.105985795131,-22.8439748792,0.104548970519,-128.068556391,0.119012079948,-130.246911432,0.0485240208437,-27.1694977151,0.423497317375,-27.2186844554,18.8194731125,-22.7115540022,1.56667656552,-108.181470754,0.00708637819725,-81.9885336845,7.33654743327,-63.5997145791,7.07204981782,-96.0879750358,0.843766272272,-152.759644706,49.9914020732,0.00956380425599,
 ,5.6,1.15504896997,11.5181688213,0.953997444525,-103.632868064,1.93720967872,-163.162076818,0.105659245512,-123.60263374,11.4467880055,-119.601438313,0.818443959038,-52.146464853,0.0587507756548,-50.6624140384,0.065575603556,-60.9648008451,1.86438039725,-49.6102793092,0.490352303655,-29.815222048,0.105896497629,-22.7186575383,0.104200199723,-127.852812219,0.117901457012,-129.849657467,0.0486066027532,-27.0171194305,0.422468357911,-27.1043842665,18.8036408599,-22.6469195693,1.56517264579,-108.016209765,0.00708291806588,-81.0177101874,7.33671514643,-63.5185141328,7.08260294848,-96.3169947996,0.847337580885,-152.704848905,49.990089051,0.01014640349,
 ,5.62,1.15505298832,11.6041996332,0.956860836935,-104.212024618,1.93369697925,-163.070087331,0.106301562474,-124.001286198,11.4338445292,-119.420228459,0.81833762446,-52.068602798,0.0586144917131,-50.6950527649,0.0655555537506,-60.8920751483,1.86297092991,-49.5651925863,0.489306200574,-29.6911918597,0.105824839266,-22.5836455714,0.103851743016,-127.623416039,0.116745497157,-129.419398658,0.0487167189589,-26.8470385149,0.421496526809,-26.9821359259,18.7928964056,-22.5679310911,1.56403699378,-107.863397956,0.00708069230923,-80.0406876202,7.33166687016,-63.50574272,7.09137139264,-96.4791522944,0.850302518854,-152.636355831,49.988728635,0.0105914317076,
 ,5.64,1.15505560825,11.7003429816,0.959586108441,-104.718104733,1.92912144318,-162.966153775,0.106836307639,-124.299960268,11.4027869438,-119.098823662,0.818626521743,-51.9393151157,0.0584419626752,-50.7495188288,0.0655095531543,-60.8385562272,1.86111296538,-49.5232348901,0.488316878826,-29.5590961709,0.105773348501,-22.4394589049,0.103486470141,-127.373279915,0.115546637429,-128.954985588,0.0488554763049,-26.6595269281,0.420597404951,-26.8523818844,18.786890338,-22.4747594125,1.56322118862,-107.720049434,0.00707986539553,-79.0432064743,7.32171827388,-63.5577092364,7.09811325818,-96.5711742133,0.852642818298,-152.554253068,49.987339907,0.0108895409232,
 ,5.66,1.1550568029,11.8065904802,0.962126931754,-105.149881213,1.92351052893,-162.850241867,0.107259041564,-124.501057801,11.3544650398,-118.638632243,0.819344519297,-51.7558084856,0.0582418863191,-50.8190150184,0.0654452206367,-60.7954700705,1.85890525412,-49.4815365356,0.487402559546,-29.4195846175,0.105744012584,-22.2867398451,0.103087111729,-127.095158888,0.114306794691,-128.4551425,0.0490232304999,-26.4552425595,0.419784446838,-26.71563091,18.7851244655,-22.3678557057,1.56267642497,-107.583221011,0.00708072338719,-78.0104283552,7.30731603939,-63.6697071389,7.10266324514,-96.5914099129,0.854348145682,-152.45876317,49.9859425357,0.0110345074294,
 ,5.68,1.15505656892,11.9227900005,0.964444082879,-105.507165371,1.91690622613,-162.722466384,0.107567348121,-124.607319812,11.2902085732,-118.042274853,0.820526281189,-51.5157555858,0.0580238159624,-50.8959488528,0.0653705754601,-60.7537266274,1.85643078851,-49.437828011,0.486579745234,-29.2733859577,0.105738252227,-22.1262373291,0.102637055997,-126.781894086,0.113027406092,-127.918446715,0.0492196108104,-26.2351950998,0.419068746004,-26.5724504045,18.786969622,-22.2479329231,1.56235419724,-107.450082932,0.00708368245109,-76.9276120834,7.28901962412,-63.8360148349,7.104941097,-96.539844596,0.855416258597,-152.350238443,49.984556364,0.0110233382533,
