Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),Phasor-9 Name(upto 16-char),Phasor-9 Type(v/c),Phasor-9 PHNMR(scaling),Phasor-10 Name(upto 16-char),Phasor-10 Type(v/c),Phasor-10 PHNMR(scaling),Phasor-11 Name(upto 16-char),Phasor-11 Type(v/c),Phasor-11 PHNMR(scaling),
Configuration Field Inputs,50,50,11,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,I8,c,100,I9,c,100,I10,c,100,I11,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Phasor-9 Magnitude,Phasor-9 Angle,Phasor-10 Magnitude,Phasor-10 Angle,Phasor-11 Magnitude,Phasor-11 Angle,Frequency,ROCOF,
 ,0.4,1.09566842111,-6.38847657364,1.40612594179,-93.2325022163,1.58196293214,-88.5410753679,0.421926173193,-168.878444942,0.299430360338,-167.339654125,0.136666033163,-63.4906539958,0.0470106539762,-139.551912956,0.0411158699632,-152.065445142,0.925066569551,-71.1598700884,0.138957428277,-73.7104053451,0.656607194891,-23.1313448759,49.9240875262,-0.019949067918,
 ,0.42,1.0957592739,-5.87010920152,1.40628451764,-92.7164762892,1.58219112239,-88.0298318198,0.4228527995,-168.304961966,0.299736170046,-166.787071439,0.136497855366,-63.0832331788,0.0463496496436,-138.491936458,0.0407680079287,-151.331157691,0.925490849981,-70.7296205266,0.13870130212,-73.5460086345,0.654814148125,-22.7481266475,49.9267075172,-0.0205353063642,
 ,0.44,1.0959926834,-5.37082857807,1.40664980211,-92.2231729207,1.5826500472,-87.5479406021,0.42295844167,-167.727870455,0.299455825338,-166.228334918,0.136335733858,-62.7469833241,0.0458576812778,-137.553441409,0.0403292954767,-150.529635655,0.924698227823,-70.6458292718,0.138520001634,-73.3970578719,0.650751761788,-22.4595170039,49.9293592628,-0.0209024832417,
 ,0.46,1.09635247864,-4.89069835779,1.40719962374,-91.7523510029,1.58331610961,-87.0946135668,0.422274150658,-167.151063395,0.298619831197,-165.66695595,0.136184325833,-62.4775976586,0.0455659743916,-136.780667468,0.0398167975818,-149.667399254,0.922862905105,-70.8963184814,0.138418681695,-73.2471726176,0.644784233832,-22.2592302625,49.9320256561,-0.021105435019,
 ,0.48,1.09682089032,-4.42972242348,1.40790940528,-91.3036459138,1.58416319238,-86.6688236719,0.42084172939,-166.578653142,0.297266790475,-165.106724302,0.13604740622,-62.2701851096,0.0454939877249,-136.205412278,0.039249583206,-148.752596862,0.920262869063,-71.4644653795,0.138398449896,-73.0827772987,0.637298984176,-22.1406308449,49.9346954364,-0.0211937275074,
 ,0.5,1.09737922448,-3.98788490774,1.40875303369,-90.8766168547,1.58516353188,-86.2693650433,0.418713100957,-166.014945689,0.295442699897,-164.551705077,0.135927962893,-62.1194465075,0.0456492333129,-135.841546431,0.0386480416702,-147.795522857,0.917257591627,-72.3280867891,0.138456853063,-72.8939129169,0.628692863708,-22.0963247141,49.9373630766,-0.0212143511645,
 ,0.52,1.09800843243,-3.56518752683,1.40970358907,-90.4707930889,1.58628839516,-85.8949145095,0.415949532428,-165.464393714,0.293200119495,-164.00620619,0.13582822001,-62.0198231695,0.0460272696177,-135.682533251,0.0380331315716,-146.809058974,0.914257284083,-73.4582875157,0.138588421593,-72.6747632853,0.61935883029,-22.1178282275,49.9400284667,-0.021211660723,
 ,0.54,1.09868957501,-3.16168223829,1.41073393081,-90.085716923,1.58750856451,-85.5440921776,0.412620735328,-164.931527063,0.290597242576,-163.474713859,0.135749562331,-61.9656051873,0.0466116222196,-135.702672254,0.0374255967103,-145.808941787,0.911684823824,-74.818560753,0.138785142618,-72.4238572628,0.609673619203,-22.1953490006,49.9426963536,-0.0212261210327,
 ,0.56,1.09940418783,-2.77749745331,1.41181715438,-89.7209813992,1.58879465991,-85.2155186748,0.408803859863,-164.420862001,0.287696891765,-162.961797535,0.135692369697,-61.9509970542,0.0473737395646,-135.8617001,0.0368451944963,-144.813750471,0.909932935839,-76.3644651512,0.139036798976,-72.143940623,0.599986906762,-22.3177134259,49.9453755426,-0.0212926582084,
 ,0.58,1.10013455816,-2.41285644873,1.41292694169,-89.3762610097,1.59011734861,-84.9078669466,0.404582391688,-163.936793368,0.284565460368,-162.471989834,0.135655806735,-61.970147927,0.0482733857303,-136.11144589,0.0363099889562,-143.844521108,0.90932080754,-78.0441651341,0.139331188374,-71.8415409709,0.590612394724,-22.4724683102,49.9480779009,-0.0214390768433,
