Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),Phasor-9 Name(upto 16-char),Phasor-9 Type(v/c),Phasor-9 PHNMR(scaling),Phasor-10 Name(upto 16-char),Phasor-10 Type(v/c),Phasor-10 PHNMR(scaling),Phasor-11 Name(upto 16-char),Phasor-11 Type(v/c),Phasor-11 PHNMR(scaling),Phasor-12 Name(upto 16-char),Phasor-12 Type(v/c),Phasor-12 PHNMR(scaling),Phasor-13 Name(upto 16-char),Phasor-13 Type(v/c),Phasor-13 PHNMR(scaling),Phasor-14 Name(upto 16-char),Phasor-14 Type(v/c),Phasor-14 PHNMR(scaling),Phasor-15 Name(upto 16-char),Phasor-15 Type(v/c),Phasor-15 PHNMR(scaling),Phasor-16 Name(upto 16-char),Phasor-16 Type(v/c),Phasor-16 PHNMR(scaling),Phasor-17 Name(upto 16-char),Phasor-17 Type(v/c),Phasor-17 PHNMR(scaling),Phasor-18 Name(upto 16-char),Phasor-18 Type(v/c),Phasor-18 PHNMR(scaling),Phasor-19 Name(upto 16-char),Phasor-19 Type(v/c),Phasor-19 PHNMR(scaling),
Configuration Field Inputs,50,50,19,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,I8,c,100,I9,c,100,I10,c,100,I11,c,100,I12,c,100,I13,c,100,I14,c,100,I15,c,100,I16,c,100,I17,c,100,I18,c,100,I19,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Phasor-9 Magnitude,Phasor-9 Angle,Phasor-10 Magnitude,Phasor-10 Angle,Phasor-11 Magnitude,Phasor-11 Angle,Phasor-12 Magnitude,Phasor-12 Angle,Phasor-13 Magnitude,Phasor-13 Angle,Phasor-14 Magnitude,Phasor-14 Angle,Phasor-15 Magnitude,Phasor-15 Angle,Phasor-16 Magnitude,Phasor-16 Angle,Phasor-17 Magnitude,Phasor-17 Angle,Phasor-18 Magnitude,Phasor-18 Angle,Phasor-19 Magnitude,Phasor-19 Angle,Frequency,ROCOF,
 ,5.06,1.09029887915,15.4279914242,0.3320246308,-31.8021845125,0.185504494322,-158.149953481,0.119725107539,-46.4573258364,0.102845543965,-36.5273298934,0.178474067206,131.600811549,0.228796314849,-165.890141172,0.253912528429,31.6192796437,0.600890011046,10.7789634498,0.0916875971663,-30.2151128474,0.142899644127,-93.5879836758,0.015119667691,-102.900269653,0.167905794201,-127.409078668,5.66629427051,-125.958844457,5.80970557252,-130.202815678,0.245993375802,-33.861366168,0.0641048266466,-39.8717109185,0.161296163479,-125.116472202,0.158517493154,-4.06847089958,49.9856263629,-0.00760013199285,
 ,5.08,1.08996871249,15.5203553124,0.331529060917,-31.8127460599,0.182846118341,-158.386025586,0.119593364306,-46.434380327,0.102702904343,-36.4952813167,0.179514374675,132.243360991,0.230327972656,-165.742886826,0.25597958184,31.5547702078,0.600662669303,10.8719019028,0.093171363284,-29.1499505511,0.141604939742,-92.6304242276,0.0146360555621,-100.958172197,0.169716312486,-127.607328008,5.67063730538,-125.906175738,5.81415852761,-130.150146959,0.249242763501,-32.9765909088,0.0646902107703,-39.0356554125,0.16369874693,-125.444543799,0.161096416302,-3.79766583566,49.986654683,-0.00799331687042,
 ,5.1,1.08964463316,15.6046279038,0.331090550178,-31.801175164,0.180937490502,-158.523421613,0.11942758326,-46.4727904062,0.10250764823,-36.5284848275,0.180852392675,133.662965446,0.231442447451,-165.63270431,0.257947842958,31.4852584433,0.60046038004,10.9569444174,0.0947389892427,-28.0891239783,0.139733772727,-91.3380813991,0.0141384913773,-98.7045014202,0.172356730243,-127.892892092,5.67239167167,-125.854850024,5.8159572961,-130.098821245,0.252322787841,-32.1825559404,0.0652684358198,-38.2444284878,0.167009998089,-125.878188848,0.163687105214,-3.54300665788,49.9877476881,-0.00846745244263,
 ,5.12,1.08932951594,15.6802397862,0.330716530627,-31.768089584,0.179763838344,-158.558247332,0.119234865953,-46.5675691208,0.102268436694,-36.6220963654,0.182593586402,135.760969944,0.232164444966,-165.55726754,0.259790929711,31.4125596799,0.600282979057,11.0335328666,0.0963465425703,-27.0656873034,0.137433909675,-89.7306429053,0.0136522956235,-96.1818171914,0.175726277577,-128.242211234,5.67165330437,-125.805469588,5.81520024106,-130.049440809,0.255200674783,-31.4770879749,0.065824046171,-37.5132660554,0.171102877551,-126.381622242,0.166244023131,-3.30714461043,49.988914997,-0.0090194361285,
 ,5.14,1.08902595044,15.7465622935,0.33041286815,-31.7149219986,0.179293709283,-158.492326493,0.119023486431,-46.712095101,0.101995712978,-36.7695670175,0.18487540367,138.408383986,0.232531403063,-165.51418774,0.261484366858,31.3384690105,0.600129540038,11.1010524501,0.0979436711437,-26.1088204546,0.134891534625,-87.8490621156,0.0132002783911,-93.4628038079,0.17969510545,-128.630353,5.66858024445,-125.758818409,5.81204940341,-130.00278963,0.257850107906,-30.8565660399,0.0663421822208,-36.8545584212,0.175817607121,-126.919252016,0.168718599957,-3.09230368434,49.9901652628,-0.00964309966185,
 ,5.16,1.08873656331,15.8029189634,0.330183376696,-31.6438310508,0.179480600178,-158.332713771,0.118802348908,-46.8983359928,0.101701092305,-36.9628183675,0.187819025559,141.45189015,0.232591027058,-165.501037634,0.263005874823,31.2647036228,0.599998645646,11.1588439134,0.0994756819916,-25.2429685212,0.13230686501,-85.7608663957,0.0128005421928,-90.6529448742,0.184108719351,-129.033757654,5.66338816372,-125.715810511,5.8067259135,-129.959781731,0.260250543055,-30.3165751897,0.066809110854,-36.2779926943,0.180967117014,-127.459475706,0.171060818604,-2.90034499401,49.9915057578,-0.0103290552945,
 ,5.18,1.0884642874,15.8486000168,0.330029464149,-31.5575810621,0.18026491593,-158.090708481,0.118580437606,-47.117140182,0.10139671455,-37.1924921614,0.191484665143,144.724491672,0.232398376057,-165.515329865,0.264335591828,31.1928449238,0.599888651962,11.206217441,0.100886279874,-24.4875802747,0.129866662074,-83.5628831283,0.0124648181681,-87.8868966281,0.188793859365,-129.432231396,5.65634382694,-125.677440416,5.7995032878,-129.921411637,0.26238611181,-29.8525032962,0.0672126860717,-35.7908141672,0.186344517857,-127.976997689,0.173220878416,-2.73284550041,49.9929419538,-0.0110646208282,
 ,5.2,1.08821250974,15.8828797002,0.329949985329,-31.459400607,0.181576305547,-157.780588771,0.118366308086,-47.3585912336,0.101094610556,-37.4482768345,0.195840583368,148.059897941,0.232012666351,-165.554463807,0.265456230884,31.1242851671,0.599797909139,11.2424679291,0.102120704823,-23.8573559338,0.127719193457,-81.3788212188,0.0121978356896,-85.3177374111,0.193565551068,-129.810023206,5.64775638425,-125.644741341,5.79069850088,-129.888712562,0.264244270524,-29.4600593101,0.0675427214475,-35.3981576088,0.191732090045,-128.453644291,0.1751508613,-2.59117182599,49.994477115,-0.0118338627431,
 ,5.22,1.08798505734,15.9050361898,0.329941348277,-31.3528312298,0.183336389079,-157.418304489,0.118167662476,-47.612411992,0.100806129597,-37.7193044054,0.200752607652,151.307292092,0.231493975291,-165.615659374,0.266353176509,31.0601835097,0.599724913078,11.266891468,0.103128972387,-23.3628537644,0.12595807967,-79.3503501073,0.0119980392728,-83.1009993604,0.198234889126,-130.156053299,5.63796660192,-125.618754487,5.78066094366,-129.862725708,0.265814353447,-29.135698587,0.067791265439,-35.1034049144,0.196911068095,-128.877983188,0.176806330303,-2.47653564823,49.9961119231,-0.0126177856444,
 ,5.24,1.08778601614,15.9143735885,0.329997879495,-31.2415769806,0.185461822963,-157.02032255,0.117991039269,-47.8683986784,0.100541466901,-37.9946018801,0.205994947952,154.342482382,0.230900029411,-165.695899987,0.267014531547,31.0014359882,0.599668379572,11.2788029849,0.103868928154,-23.0112789698,0.124619964203,-77.6226643951,0.0118595799619,-81.3775820009,0.202617050348,-130.463500619,5.62733439224,-125.600509851,5.76975963765,-129.844481072,0.267086181342,-28.8769470294,0.0679527777381,-34.9085312625,0.201671469722,-129.24418529,0.178147798292,-2.39002427268,49.9978441594,-0.0133946937793,
