Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),
Configuration Field Inputs,50,50,5,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Frequency,ROCOF,
 ,3.04,1.06559361067,15.6720613621,0.0294198534205,20.4590435686,2.65205479061,-108.918400195,0.428622924389,30.2297174878,0.0162667236369,-83.1657620248,49.8921388208,0.0397227925432,
 ,3.06,1.06378184161,16.4780696032,0.0304032030963,20.902594632,2.59115366544,-106.310769975,0.441138830225,30.5339275875,0.01623136902,-75.5582530316,49.8892734725,0.0283974503201,
 ,3.08,1.06188212009,17.2877752955,0.0314081529018,21.3608084682,2.53188807907,-103.57174942,0.453912686698,30.8553967304,0.0164596459803,-67.5582448372,49.8879621627,0.0163916328201,
 ,3.1,1.0599306665,18.0896394197,0.0324140500359,21.8278211904,2.47576389844,-100.747112649,0.466684667937,31.1909462545,0.0169771922009,-59.6064091517,49.8882430692,0.00395689945256,
 ,3.12,1.05796841139,18.8722121874,0.0334004952825,22.2969998414,2.42402365807,-97.8907052961,0.479198119561,31.5361603718,0.0177700982298,-52.1113550051,49.8901217786,-0.00865035410864,
 ,3.14,1.05603987475,19.6243550897,0.0343477781649,22.7612688689,2.37758877678,-95.0632245937,0.491205062977,31.8857321054,0.0187902396156,-45.3627259574,49.8935718777,-0.0211752422438,
 ,3.16,1.05419173688,20.3354495092,0.0352372673798,23.2134215891,2.33703023191,-92.3300887938,0.502471134241,32.2338190173,0.0199679153526,-39.5047400113,49.8985362734,-0.0333703593417,
 ,3.18,1.05247118612,20.9955883279,0.0360517505288,23.6464012821,2.30257347436,-89.7585709465,0.512779875508,32.5743824233,0.021225143219,-34.5631903091,49.9049291573,-0.0450011781307,
 ,3.2,1.05092414085,21.5957479286,0.0367757207874,24.0535444313,2.274138601,-87.4145455536,0.521936346719,32.9014937315,0.0224854489989,-30.4921293948,49.9126385095,-0.0558507019347,
 ,3.22,1.04959344777,22.1279389274,0.0373956112494,24.4287841179,2.25141119138,-85.3592803257,0.529770066581,33.2095993552,0.0236794982837,-27.2144421838,49.9215290216,-0.0657232314506,
