Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),
Configuration Field Inputs,50,50,1,0,0,15,V1,v,10000,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Frequency,ROCOF,
 ,0.44,0.982260971025,26.728462272,49.9549281004,-0.0708891200077,,
 ,0.46,0.983288377008,26.9642983993,49.9631559302,-0.0672229931597,,
 ,0.48,0.98442442521,27.147720103,49.9707400855,-0.0625924675845,,
 ,0.5,0.985644965809,27.2844213537,49.9775815792,-0.0571158691508,,
 ,0.52,0.98692452678,27.3806387219,49.9835982513,-0.0509219787954,,
 ,0.54,0.988237007033,27.4430144959,49.9887261273,-0.0441501557393,,
 ,0.56,0.989556335858,27.47845205,49.9929205123,-0.0369490413512,,
 ,0.58,0.990857079505,27.493966034,49.9961567833,-0.029474538331,,
 ,0.6,0.99211497926,27.4965302267,49.9984308397,-0.0218873433575,,
 ,0.62,0.993307409806,27.4929261265,49.9997591817,-0.0143501484943,,
 ,0.64,0.994413751626,27.4895955343,50.0001785847,-0.00702457176302,,
 ,0.66,0.995415676808,27.4925004951,49.9997453473,-6.78695287964e-05,,
 ,0.68,0.996297352989,27.5069939843,49.9985340952,0.00637050164431,,
 ,0.7,0.997045574961,27.5377046236,49.9966361437,0.0121523785298,,
 ,0.72,0.997649836775,27.5884384656,49.994157431,0.0171543126126,,
 ,0.74,0.998102358728,27.6621004795,49.9912160646,0.021270763633,,
 ,0.76,0.998398083389,27.7606378095,49.9879395385,0.0244168965344,,
 ,0.78,0.998534652958,27.8850061967,49.9844617019,0.0265308235456,,
 ,0.8,0.998512377446,28.0351602116,49.980919573,0.027575169319,,
 ,0.82,0.998334199751,28.2100672066,49.9774500964,0.0275378924326,,
 ,0.84,0.998005660307,28.40774422,49.9741869375,0.0264323575637,,
 ,0.86,0.997534860764,28.6253164848,49.9712574026,0.0242967037539,,
 ,0.88,0.996932423376,28.8590957151,49.9687795566,0.0211925842518,,
 ,0.9,0.99621144026,29.1046759475,49.9668596034,0.0172033603154,,
 ,0.92,0.995387404458,29.3570443756,49.9655895832,0.0124318225427,,
 ,0.94,0.994478112594,29.6107043289,49.9650454334,0.00699750193633,,
 ,0.96,0.993503526851,29.8598073104,49.9652854544,0.00103363130162,,
 ,0.98,0.992485582268,30.098290862,49.9663492104,-0.00531616891565,,
 ,1.0,0.991447924453,30.3200189935,49.9682568807,-0.0119013816437,,
 ,1.02,0.990415563314,30.5189220225,49.971009061,-0.0185681380579,,
 ,1.04,0.989414431138,30.6891329144,49.9745869974,-0.0251626825146,,
 ,1.06,0.988470838618,30.8251175539,49.9789532181,-0.031534635406,,
 ,1.08,0.987610830446,30.9217967557,49.9840525214,-0.0375399664091,,
 ,1.1,0.986859452349,30.974658176,49.9898132757,-0.0430436400424,,
 ,1.12,0.986239952992,30.9798565491,49.996148992,-0.0479219457167,,
 ,1.14,0.98577295566,30.9343008385,50.0029601388,-0.0520645611219,,
 ,1.16,0.985475644395,30.8357269439,50.0101361764,-0.0553764108345,,
 ,1.18,0.985361015783,30.6827546068,50.0175577954,-0.0577793690345,,
 ,1.2,0.98543724967,30.4749271465,50.0250993425,-0.059213821532,,
 ,1.22,0.98570724894,30.2127327159,50.0326314116,-0.0596400584822,,
 ,1.24,0.986168390211,29.8976059304,50.0400235651,-0.0590394275721,,
 ,1.26,0.986812514383,29.5319090438,50.0471471381,-0.0574151488329,,
 ,1.28,0.987626169515,29.1188923101,50.0538780615,-0.0547926836542,,
 ,1.3,0.98859109997,28.6626337714,50.0600996307,-0.0512195645416,,
 ,1.32,0.989684956873,28.1679593886,50.0657051412,-0.04676462637,,
 ,1.34,0.990882187367,27.6403451221,50.0706003114,-0.04151662757,,
 ,1.36,0.992155045883,27.0858032098,50.0747054246,-0.0355823005125,,
 ,1.38,0.993474661175,26.5107554163,50.0779571327,-0.0290839124441,,
 ,1.4,0.994812089636,25.9218964225,50.0803098791,-0.0221564414185,,
 ,1.42,0.996139289038,25.326050781,50.0817369133,-0.0149444709507,,
 ,1.44,0.997429957174,24.7300270138,50.082230877,-0.00759888583651,,
 ,1.46,0.998660195861,24.1404724983,50.0818039468,-0.000273420954718,,
 ,1.48,0.999808980344,23.5637328129,50.0804875202,0.0068789094656,,
 ,1.5,1.00085843473,23.0057191749,50.0783314346,0.0137094786939,,
 ,1.52,1.00179393296,22.4717874969,50.0754027159,0.0200777645516,,
 ,1.54,1.00260405963,21.9666323535,50.0717838655,0.0258550264831,,
