Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),
Configuration Field Inputs,50,50,8,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,I8,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Frequency,ROCOF,
 ,3.16,1.04386383065,0.88398598335,0.309847967472,-31.8947587167,0.486194945368,176.06761753,0.353270723183,174.052222397,0.228327753311,151.275173438,0.974806316127,59.6236126597,1.02618646736,-109.679302449,14.7655350665,179.371762313,49.9925766061,0.00310985095891,
 ,3.18,1.04387348523,0.942221935524,0.307833265114,-31.7832423398,0.484428131137,176.06792971,0.348574812409,174.138291291,0.236779609514,152.089543827,0.968418713349,60.9356249904,1.03016231306,-112.547574533,14.7433289509,179.407720111,49.9921316912,0.00339565834546,
 ,3.2,1.04388297003,1.00399996607,0.305753225694,-31.6661734673,0.482509370139,176.066494717,0.34312596796,174.233892919,0.245207119608,152.852200769,0.962258807345,62.3091643989,1.03644202715,-115.227003395,14.7173613755,179.444516002,49.9916556344,0.00365591538232,
 ,3.22,1.04389223155,1.0695019869,0.303603202773,-31.5432414093,0.480440055029,176.063485375,0.336924956655,174.340034637,0.253522320246,153.562908283,0.956440633463,63.7305261714,1.04450261408,-117.69615866,14.6875756187,179.482299652,49.9911523773,0.00388676685292,
 ,3.24,1.04390122478,1.13887714152,0.301377634397,-31.4141505575,0.478222422382,176.059066094,0.329976419019,174.45787209,0.26163850047,154.222235026,0.951060117449,65.1849223741,1.05382499401,-119.943940245,14.6539391809,179.521208141,49.9906262644,0.00408479459049,
 ,3.26,1.04390991343,1.21223961102,0.299070276993,-31.2786288462,0.475859613915,176.053393091,0.322289017935,174.58873887,0.269470942194,154.831271181,0.946191908678,66.6568233212,1.06392785986,-121.968396846,14.6164452752,179.561364909,49.9900819771,0.00424707387445,
 ,3.28,1.04391826996,1.28966695118,0.296674460971,-31.1364361218,0.473355726906,176.046614977,0.313875531663,174.734185015,0.276937639048,155.391406921,0.941887444934,68.1303589338,1.07439260536,-123.775197458,14.5751138651,179.602878816,49.9895244631,0.00437122055102,
 ,3.3,1.04392627558,1.37119898523,0.294183361796,-30.9873722419,0.47071585262,176.038873705,0.304752889804,174.89602702,0.283960011751,155.904164017,0.938174364743,69.5897589656,1.08487934239,-125.376048432,14.5299922316,179.645843323,49.9889588608,0.00445542811258,
 ,3.32,1.04393392,1.4568372664,0.291590279875,-30.831284729,0.467946101746,176.030305854,0.294942152151,175.076413133,0.290463633429,156.371071506,0.935057273062,71.0198062986,1.09513500689,-126.787244964,14.4811550656,179.690335804,49.9883904224,0.00449849416978,
 ,3.34,1.04394120125,1.54654511438,0.288888922306,-30.6680758036,0.465053615998,176.02104424,0.284468431782,175.277909145,0.296378972335,156.793576785,0.932519752707,72.4062759398,1.10499503469,-128.028447001,14.4287040883,179.736416997,49.9878244341,0.00449983595755,
