Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),Phasor-9 Name(upto 16-char),Phasor-9 Type(v/c),Phasor-9 PHNMR(scaling),Phasor-10 Name(upto 16-char),Phasor-10 Type(v/c),Phasor-10 PHNMR(scaling),Phasor-11 Name(upto 16-char),Phasor-11 Type(v/c),Phasor-11 PHNMR(scaling),Phasor-12 Name(upto 16-char),Phasor-12 Type(v/c),Phasor-12 PHNMR(scaling),Phasor-13 Name(upto 16-char),Phasor-13 Type(v/c),Phasor-13 PHNMR(scaling),Phasor-14 Name(upto 16-char),Phasor-14 Type(v/c),Phasor-14 PHNMR(scaling),Phasor-15 Name(upto 16-char),Phasor-15 Type(v/c),Phasor-15 PHNMR(scaling),Phasor-16 Name(upto 16-char),Phasor-16 Type(v/c),Phasor-16 PHNMR(scaling),
Configuration Field Inputs,50,50,16,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,I8,c,100,I9,c,100,I10,c,100,I11,c,100,I12,c,100,I13,c,100,I14,c,100,I15,c,100,I16,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Phasor-9 Magnitude,Phasor-9 Angle,Phasor-10 Magnitude,Phasor-10 Angle,Phasor-11 Magnitude,Phasor-11 Angle,Phasor-12 Magnitude,Phasor-12 Angle,Phasor-13 Magnitude,Phasor-13 Angle,Phasor-14 Magnitude,Phasor-14 Angle,Phasor-15 Magnitude,Phasor-15 Angle,Phasor-16 Magnitude,Phasor-16 Angle,Frequency,ROCOF,
 ,0.3,1.01291874115,-60.0827524072,0.10867364777,144.192928313,6.3339207363,120.742236566,2.46248897856,135.692693688,0.165426166478,143.946564815,0.30095920672,146.856177726,1.89964302577,133.420794241,14.6572572551,-53.9095710721,0.292605344171,128.00171882,6.72107022827,121.834460302,3.71537601616,-71.7453877499,8.66769708207,98.0158147075,25.1954901607,124.58265921,0.372312523575,134.709854067,0.219444015229,133.761378837,0.479736558233,127.616404324,49.9979452567,0.00434618185949,
 ,0.32,1.01290388718,-60.0604897326,0.109512730391,144.518120839,6.41095809872,121.240953523,2.48173348625,135.921732367,0.166306388254,144.146316515,0.303102578218,147.123625667,1.91897488227,133.680216611,14.6569476123,-53.887243013,0.29347610303,128.130578464,6.71725220575,121.847793722,3.71563672928,-71.728717774,8.64857525509,97.9795852238,25.1832030463,124.59349179,0.372652113621,134.760811694,0.219356880365,133.772528625,0.479587420381,127.626228519,49.9972477769,0.00515148940378,
 ,0.34,1.01288776178,-60.0320332797,0.110359226519,144.848746269,6.4955409916,121.779425928,2.50320186831,136.179455822,0.16728337527,144.372388001,0.305296080344,147.402786789,1.94020754096,133.964075162,14.6566053116,-53.8587140655,0.294423368334,128.275893964,6.71249048502,121.865450867,3.71625140109,-71.7061464648,8.62476314009,97.9357392652,25.1675467227,124.607591826,0.373036955328,134.821928804,0.219246123739,133.786989256,0.479396534291,127.638949495,49.9964415934,0.00599589563155,
 ,0.36,1.01287048639,-59.9965759887,0.111208355304,145.184032277,6.58698333934,122.35310685,2.5267092559,136.464692151,0.168352349182,144.624786763,0.307522632501,147.692573042,1.96316913089,134.27114088,14.6562318693,-53.8231774431,0.295437415583,128.437709932,6.70674502944,121.888183821,3.71726104815,-71.6768323161,8.59591891496,97.883944921,25.1481539247,124.625465427,0.373467465716,134.894085043,0.219108915894,133.805235087,0.479159388278,127.65503488,49.9955245764,0.00686441483045,
 ,0.38,1.01285222349,-59.9533229033,0.112054782239,145.523114352,6.68437122219,122.956576991,2.55200579985,136.77561918,0.169505492628,144.902900946,0.30976355241,147.991714038,1.9876314461,134.599669156,14.6558297293,-53.7798386642,0.296506234148,128.615773462,6.70000201183,121.916784985,3.71869720804,-71.6399405511,8.5617875903,97.8240439204,25.1246896646,124.647636052,0.373943009248,134.978059209,0.218942563889,133.827746796,0.478871875706,127.674973782,49.9944971567,0.00773851167633,
 ,0.4,1.01283317355,-59.9015127842,0.112892752812,145.865036444,6.78659301692,123.583784703,2.57878524599,137.1098305,0.170732071582,145.205488698,0.311999191079,148.298799592,2.01331742192,134.947453568,14.6554022558,-53.7279371647,0.29761603222,128.809536258,6.69227890813,121.952074158,3.7205782046,-71.59466608,8.52222162469,97.756084674,25.0968664033,124.674635303,0.374461842696,135.074501002,0.218744608291,133.855001327,0.478530476822,127.69926883,49.9933626127,0.00859695169639,
 ,0.42,1.01281357078,-59.8404403331,0.1137162348,146.208751786,6.89237574911,124.228275909,2.60669514236,137.464415049,0.17201865837,145.530685004,0.314209543197,148.612319486,2.03990998753,135.311886638,14.6549536923,-53.6667685151,0.298751800113,129.01816286,6.68362914214,121.994884131,3.72290552989,-71.5402572436,8.47719963625,97.6803554427,25.0644591791,124.706993029,0.375021077915,135.183903618,0.218512922598,133.887461468,0.478132437131,127.728427276,49.9921272225,0.00941680197296,
 ,0.44,1.01279367779,-59.769477954,0.114519062157,146.553124448,7.00032594557,124.883401806,2.63534818445,137.836046713,0.173349449123,145.876027004,0.316374801327,148.930698401,2.06706187981,135.690025812,14.6544890877,-53.5957061677,0.299897903344,129.240545637,6.67414598062,122.046045341,3.72566056069,-71.4760393217,8.42684191837,97.5974166615,25.0273199201,124.74522719,0.375616663806,135.306578465,0.218245810542,133.925565574,0.477675932467,127.762951514,49.9908002713,0.0101745275959,
 ,0.46,1.01277377927,-59.6880959858,0.115295074089,146.896932352,7.10897309739,125.542497112,2.66433417778,138.221080334,0.174706664445,146.238498108,0.318475829232,149.252324559,2.0944059812,136.0786631,14.6540141884,-53.5142216685,0.301038676018,129.475326835,6.66396539409,122.106370141,3.72880182157,-71.4014367673,8.37142156172,97.5081312392,24.9853901794,124.789833909,0.37624338849,135.442633275,0.21794209676,133.969717967,0.477160211211,127.803329359,49.9893939122,0.0108471314522,
 ,0.48,1.01275417471,-59.5958804037,0.116038243733,147.238872478,7.21681378179,126.199026115,2.69323209967,138.615650568,0.176071017698,146.614590533,0.320494537836,149.575571405,2.1215657461,136.474396872,14.6535352994,-53.4219023316,0.302158986111,129.720927632,6.653267632,122.17663725,3.73226298773,-71.3159931594,8.31137016149,97.4136913433,24.9387115811,124.841278149,0.376894902379,135.591954756,0.217601206504,134.020280472,0.476585704922,127.850024444,49.9879228866,0.0114132800909,
 ,0.5,1.01273517057,-59.4925471087,0.116742792116,147.577568912,7.32235455192,126.846697336,2.72162177316,139.015770256,0.177422231803,147.000385066,0.322414155893,149.898812328,2.14816530486,136.873704324,14.6530591198,-53.3184654946,0.303244746986,129.975583672,6.64227731,122.257576904,3.7359517902,-71.2193879562,8.247277339,97.3156397631,24.887433361,124.899985386,0.377563762607,135.754196801,0.217223230539,134.077565524,0.475954099984,127.903467078,49.9864041146,0.0118543566076,
 ,0.52,1.01271707203,-59.377952091,0.117403284323,147.911584204,7.42415187904,127.479550088,2.74909472161,139.417425269,0.178739583286,147.391646055,0.324219395924,150.220429139,2.17383887976,137.273013143,14.6525925584,-53.2037686447,0.304283353654,130.237386171,6.63126186876,122.349857144,3.73974994513,-71.1114492673,8.17988361796,97.2158834564,24.831816505,124.966334605,0.378241499028,135.928775068,0.216808971997,134.14183117,0.475268364615,127.964045843,49.9848561787,0.012155384396,
 ,0.54,1.01270017475,-59.25209696,0.118014706303,148.239434344,7.52084770322,128.092017447,2.77526384766,139.816663221,0.180002451588,147.783928844,0.325896523678,150.538815618,2.19823920995,137.668770898,14.6521425379,-53.0778149069,0.305264027527,130.504327327,6.6205283353,122.454071637,3.74351418059,-70.9921620551,8.11006654818,97.1166963968,24.7722341435,125.040652842,0.378918701783,136.114868477,0.216359972735,134.213278188,0.474532727648,128.03210019,49.9832987235,0.0123057727644,
 ,0.56,1.01268475702,-59.1151295611,0.118572522102,148.559607377,7.61119948962,128.678970544,2.79977166814,140.209673949,0.181190852484,148.172696174,0.327433345875,150.852377905,2.22104475614,138.057510775,14.6517157962,-52.9407536187,0.306178059301,130.774348534,6.61041839443,122.570729285,3.74707838027,-70.8616714014,8.03882034282,97.0207084535,24.7091680262,125.123211417,0.379585130211,136.311427934,0.215878517649,134.292049449,0.4737526078,128.107914197,49.9817518021,0.0122998459453,
 ,0.58,1.01267107252,-58.9673396458,0.11907271265,148.870585435,7.69410406714,129.235748769,2.82229693075,140.592860146,0.182285936631,148.553439542,0.32881913587,151.159533784,2.24196553675,138.435912421,14.6513186942,-52.7928759568,0.30701894571,131.045389748,6.60130185616,122.700245804,3.75025680908,-70.7202807222,7.96722966318,96.9308768941,24.6432010801,125.214223886,0.38022984266,136.517192279,0.215367616319,134.378231491,0.472934494473,128.191711613,49.9802352023,0.0121371299112,
 ,0.6,1.01265934403,-58.8091497941,0.119511798357,149.170869706,7.76861491289,129.758179753,2.84255953184,140.962897128,0.183270437574,148.921801141,0.330044519956,151.458713027,2.26074752799,138.800856822,14.6509570375,-52.6346058199,0.307782421766,131.315438349,6.59356868018,122.842937353,3.75284833179,-70.568445062,7.89643852382,96.8504373591,24.5750062273,125.313845673,0.380841346523,136.730711186,0.214830962335,134.471858184,0.472085783497,128.283652214,49.9787677833,0.0118223856061,
 ,0.62,1.0126497584,-58.6411020151,0.119886848566,149.459007589,7.83395291255,130.242592174,2.86032374252,141.31678117,0.18412905747,149.273691901,0.331101348066,151.748360812,2.27717563631,139.149474406,14.6506359207,-52.4664863928,0.30846639543,131.582575888,6.58761978658,122.999016198,3.75464148759,-70.4067598331,7.82761557608,96.7828319596,24.5053318081,125.422175206,0.38140776754,136.950374472,0.214272871527,134.572916232,0.471214573344,128.383829473,49.9773668571,0.0113653916362,
 ,0.64,1.01264246276,-58.4638406458,0.120195481474,149.733621155,7.88951094985,130.68582356,2.87539982729,141.65186636,0.18484878296,149.605401255,0.331982571789,152.026945964,2.29107531895,139.479185805,14.6503595981,-52.2891630138,0.309070796078,131.845021271,6.58385694057,123.16858833,3.75542024185,-70.2359455581,7.76191723933,96.7316135908,24.4349840995,125.539256354,0.381917037116,137.174447026,0.213698201165,134.68135218,0.470329429297,128.492269459,49.97604764,0.0107804931776,
 ,0.66,1.01263756218,-58.2780923244,0.120435858177,149.993435897,7.93485294254,131.085224544,2.88764420366,141.965890304,0.185419127526,149.913694625,0.332682149891,152.292975302,2.30231298218,139.787734992,14.650131388,-52.1033631242,0.309597351579,132.101169108,6.5826720437,123.351652904,3.75497020503,-70.0568293261,7.70045027299,96.7003276412,24.3648075461,125.665081865,0.382357096049,137.401108368,0.213112252905,134.797080498,0.469439124541,128.608930862,49.9748228008,0.0100859459654,
 ,0.68,1.01263511866,-58.0846439321,0.120606674312,150.237308765,7.96970813822,131.438660433,2.89695834017,142.2569894,0.185832299995,150.195895159,0.333194997262,152.545014776,2.31079532761,140.073214772,14.6499536093,-51.9098741925,0.310049311091,132.349622231,6.58443619464,123.54810333,3.75308508688,-69.8703237669,7.64423541061,96.6923748807,24.2956634097,125.799597504,0.382716112665,137.628495682,0.212520662783,134.919992272,0.468552368315,128.733706017,49.9737021227,0.00930309409577,
 ,0.7,1.01263515145,-57.8843194597,0.120707152106,150.464254533,7.9939616085,131.744510573,2.90328662384,142.523704652,0.18608330134,150.449946987,0.333516987806,152.781717429,2.31646784201,140.334084844,14.6498275538,-51.7095205715,0.310431131884,132.589217606,6.58948889666,123.757729824,3.74957314455,-69.677404384,7.59417361283,96.710862148,24.2284076074,125.942706544,0.382982712931,137.854749052,0.211929281991,135.049964006,0.467677531879,128.866422778,49.9726922918,0.00845542752692,
 ,0.72,1.01263763851,-57.6779567764,0.120737034815,150.673469645,8.00764193649,132.001665707,2.90661344699,142.764979262,0.186169953556,150.674458083,0.333645015561,153.001857527,2.31931263714,140.569182866,14.6497534922,-51.5031402657,0.31074814868,132.819045162,6.59812778649,123.98022323,3.74426338453,-69.4790860798,7.55101634888,96.7584501179,24.1638685299,126.094274289,0.383146219605,138.078057574,0.211344052356,135.186866034,0.466822383225,129.006847108,49.9717968181,0.0075675694123,
 ,0.74,1.01264251896,-57.4663852467,0.120696584487,150.864352849,8.01090708795,132.209523414,2.90695976761,142.980149349,0.186092865245,150.868721713,0.333577111988,153.204369494,2.31934584466,140.777729118,14.6497307105,-51.2915625538,0.311006243227,133.038459313,6.6105992415,124.215179924,3.73701128994,-69.2763996434,7.51534110371,96.8372094131,24.1028256254,126.254132354,0.383196896953,138.296704989,0.21077088051,135.330570072,0.465993841102,129.154686265,49.9710160874,0.00666424472886,
 ,0.76,1.0126496964,-57.250405068,0.120586582926,151.036522013,8.00402939939,132.367981647,2.90437938973,143.168929277,0.18585533879,151.032716371,0.333312611189,153.388389715,2.31661475812,140.959325457,14.649757575,-51.0755873378,0.311211530336,133.24708319,6.62709018873,124.462107606,3.72770386656,-69.0703688903,7.48753305228,96.9484971598,24.0459894881,126.422082433,0.383126196993,138.509113504,0.210215514599,135.480955477,0.465197758137,129.30959247,49.9703475377,0.0057692802539,
