Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),
Configuration Field Inputs,50,50,4,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Frequency,ROCOF,
 ,6.48,1.1298166629,15.9791471061,0.00216014179755,-24.3627206558,0.225685847522,176.398622662,0.143626171329,-51.4732397408,49.9736002505,0.0162594125293,
 ,6.5,1.12992925868,16.1902904545,0.00215840002169,-24.1641651757,0.225503309885,176.596765186,0.143542543408,-51.3359691894,49.9716580648,0.0157224926921,
 ,6.52,1.13003229189,16.4146676321,0.00215653317628,-23.9540737363,0.225307702212,176.806415943,0.143455509336,-51.1906169396,49.9697853177,0.0151758993278,
 ,6.54,1.1301233496,16.6517892448,0.00215455923822,-23.7327543597,0.225100908201,177.027271713,0.143365811041,-51.036790032,49.9679808249,0.0146322348011,
 ,6.56,1.13019997172,16.9011864747,0.00215249608261,-23.5004935152,0.224884800884,177.259050863,0.143274172737,-50.8740716059,49.9662422943,0.0141015540609,
 ,6.58,1.13025954348,17.1624149459,0.00215036094475,-23.2575563734,0.224661186359,177.501493005,0.14318127581,-50.7020315808,49.964566704,0.0135910720468,
 ,6.6,1.13029923906,17.4350558873,0.00214816993653,-23.0041887533,0.224431753182,177.754356978,0.14308773461,-50.5202404808,49.9629506766,0.0131050778049,
 ,6.62,1.13031603247,17.7187148791,0.00214593766702,-22.7406203016,0.22419803258,178.017417582,0.142994076167,-50.3282854027,49.9613908295,0.01264504146,
 ,6.64,1.13030678135,18.0130185968,0.00214367700216,-22.4670685034,0.223961373204,178.290461484,0.142900726211,-50.1257869068,49.9598840783,0.0122098897717,
 ,6.66,1.13026837891,18.3176100478,0.00214139898243,-22.1837431385,0.223722932327,178.573282697,0.14280800303,-49.912415545,49.9584278811,0.0117964123841,
 ,6.68,1.1301979599,18.6321428093,0.00213911289774,-21.8908508562,0.223483683502,178.865677952,0.142716119745,-49.6879068393,49.9570204163,0.0113997463794,
 ,6.7,1.13009313901,18.9562747292,0.00213682650161,-21.5885996856,0.223244438769,179.167442132,0.142625194563,-49.4520737655,49.9556606952,0.0110138789344,
 ,6.72,1.12995225508,19.2896614655,0.00213454633019,-21.2772034614,0.223005881887,179.478363839,0.142535267609,-49.2048161478,49.954348618,0.0106321137544,
 ,6.74,1.12977459239,19.6319501324,0.0021322780802,-20.9568862226,0.222768607721,179.798220987,0.142446322157,-48.9461267551,49.9530849844,0.0102474670943,
 ,6.76,1.1295605512,19.9827732498,0.00213002699051,-20.6278867142,0.222533162127,-179.873223691,0.142358307445,-48.6760942724,49.9518714691,0.00985298556854,
 ,6.78,1.12931174381,20.3417431393,0.00212779817234,-20.2904631447,0.222300076482,-179.536227371,0.142271160079,-48.3949036335,49.9507105694,0.00944199791807,
 ,6.8,1.12903099984,20.7084468878,0.00212559683692,-19.9448982964,0.222069891576,-179.191072204,0.142184821096,-48.1028344347,49.9496055319,0.0090083167908,
 ,6.82,1.12872227352,21.0824419621,0.00212342838166,-19.5915049812,0.221843166777,-178.838070736,0.142099246337,-47.8002582797,49.9485602613,0.00854639425266,
 ,6.84,1.12839045714,21.4632524998,0.00212129831433,-19.2306318368,0.221620472293,-178.477571668,0.142014408614,-47.4876359397,49.947579222,0.00805141661273,
 ,6.86,1.1280411153,21.8503662039,0.00211921201612,-18.8626693925,0.221402364622,-178.109965877,0.141930291296,-47.1655151353,49.9466673421,0.00751931559966,
 ,6.88,1.12768016465,22.2432316872,0.00211717436774,-18.4880562729,0.221189347693,-177.735692606,0.141846874155,-46.8345295591,49.945829935,0.00694668497097,
 ,6.9,1.12731353093,22.6412560691,0.00211518928385,-18.107285419,0.22098182442,-177.355245658,0.141764113503,-46.4953994558,49.9450726448,0.00633062403131,
 ,6.92,1.12694681825,23.0438026856,0.00211325921717,-17.7209100309,0.220780045034,-176.969179346,0.141681919586,-46.1489336679,49.9444014153,0.00566856891651,
 ,6.94,1.12658502478,23.4501889291,0.00211138470009,-17.3295488664,0.22058405933,-176.578113774,0.141600134751,-45.7960326026,49.9438224663,0.00495819904092,
 ,6.96,1.12623233273,23.8596844595,0.00210956399061,-16.9338902815,0.220393679747,-176.182738905,0.141518515996,-45.437691124,49.9433422524,0.00419750313005,
 ,6.98,1.12589199061,24.271510257,0.00210779287673,-16.5346944053,0.220208460961,-175.78381672,0.141436725025,-45.0750000404,49.9429673755,0.00338505228201,
 ,7.0,1.12556629285,24.6848391387,0.00210606467327,-16.1327927326,0.220027699596,-175.38218081,0.141354328032,-44.7091446948,49.9427044246,0.00252046731989,
 ,7.02,1.12525664792,25.098798385,0.00210437042198,-15.729084574,0.219850455101,-174.978732812,0.141270806164,-44.3413992417,49.9425597345,0.0016050052885,
 ,7.04,1.12496371373,25.5124749966,0.00210269927798,-15.3245300645,0.21967559017,-174.574435384,0.141185576221,-43.9731155032,49.9425390684,0.00064214772207,
 ,7.06,1.12468757047,25.9249238615,0.00210103904603,-14.9201397178,0.219501826785,-174.17030171,0.141098019892,-43.6057058079,49.9426472492,-0.000361935265301,
 ,7.08,1.12442789755,26.3351788065,0.0020993768121,-14.5169608836,0.219327812273,-173.767381881,0.14100751879,-43.2406198419,49.9428877734,-0.00139814622343,
 ,7.1,1.124184124,26.7422662037,0.00209769961051,-14.116061692,0.219152189109,-173.366746772,0.14091349206,-42.8793162138,49.9432624489,-0.00245450286876,
 ,7.12,1.12395553041,27.1452205399,0.00209599506868,-13.7185133709,0.218973662448,-172.969470241,0.140815433328,-42.5232300557,49.9437710915,-0.00351647028387,
 ,7.14,1.12374129338,27.5431011605,0.0020942519841,-13.3253717853,0.218791060569,-172.576610584,0.140712944219,-42.1737384991,49.9444113142,-0.00456755577036,
 ,7.16,1.12354047783,27.9350092582,0.00209246080376,-12.9376592131,0.21860338517,-172.189192193,0.140605762499,-41.8321262156,49.9451784315,-0.00559011974485,
 ,7.18,1.12335199553,28.3201040979,0.0020906139958,-12.5563472059,0.218409850368,-171.808188332,0.140493783774,-41.4995533678,49.9460654976,-0.00656634579742,
 ,7.2,1.12317455668,28.697617455,0.00208870631787,-12.1823413862,0.218209910894,-171.434505854,0.140377076477,-41.1770282464,49.9470634829,-0.00747930199956,
 ,7.22,1.12300664312,29.0668653174,0.00208673499717,-11.816468842,0.218003280976,-171.068972553,0.140255890371,-40.8653865527,49.9481615872,-0.00831400832316,
 ,7.24,1.12284652677,29.4272560833,0.00208469983818,-11.4594686537,0.217789945595,-170.712327654,0.140130658946,-40.5652787566,49.9493476692,-0.00905840649631,
 ,7.26,1.12269234602,29.7782947698,0.00208260326967,-11.11198577,0.21757016531,-170.365215706,0.14000199591,-40.2771662428,49.9506087603,-0.00970412136575,
 ,7.28,1.12254223827,30.1195830994,0.00208045033301,-10.7745682966,0.217344474824,-170.028183896,0.139870685679,-40.0013261579,49.9519316169,-0.0102469191779,
 ,7.3,1.12239451231,30.4508156921,0.00207824860332,-10.4476679481,0.217113674495,-169.701682562,0.139737667464,-39.7378640912,49.9533032643,-0.0106868110536,
 ,7.32,1.12224783274,30.7717728872,0.00207600802933,-10.1316432907,0.216878813243,-169.386068508,0.139604012429,-39.4867330663,49.9547114876,-0.0110278092391,
 ,7.34,1.12210138249,31.0823109102,0.00207374067591,-9.82676527747,0.21664116129,-169.081610634,0.139470893676,-39.2477568822,49.9561452379,-0.0112774000675,
 ,7.36,1.12195497083,31.382350175,0.00207146036186,-9.53322461377,0.216402171926,-168.788497379,0.13933954938,-39.0206556485,49.9575949354,-0.0114458321609,
 ,7.38,1.1218090621,31.6718624955,0.00206918219741,-9.25114046855,0.216163432853,-168.506845515,0.13921124029,-38.8050714122,49.9590526679,-0.0115453224414,
 ,7.4,1.12166471419,31.9508579171,0.0020669220445,-8.98057008549,0.215926609501,-168.236709831,0.139087203833,-38.6005920251,49.9605122877,-0.0115892612455,
 ,7.42,1.12152343105,32.2193717961,0.00206469593846,-8.72151890898,0.215693384386,-167.978093298,0.138968607909,-38.4067718003,49.961969418,-0.011591467377,
 ,7.44,1.12138694925,32.477452674,0.00206251952214,-8.47395075696,0.215465397874,-167.730957269,0.138856508024,-38.2231479932,49.9634213798,-0.01156552056,
 ,7.46,1.12125698948,32.7251513912,0.00206040754793,-8.23779762533,0.215244196106,-167.4952313,0.138751811403,-38.0492526835,49.9648670536,-0.0115241912113,
 ,7.48,1.12113500998,32.9625117549,0.00205837349817,-8.01296877111,0.215031191359,-167.270822202,0.13865525122,-37.8846201759,49.9663066915,-0.0114789918687,
 ,7.5,1.12102199782,33.1895629077,0.00205642936081,-7.79935874848,0.214827638726,-167.05762206,0.138567373021,-37.7287905457,49.9677417012,-0.0114398788406,
 ,7.52,1.12091832792,33.4063133638,0.00205458557849,-7.59685431987,0.214634630884,-166.855515112,0.138488534111,-37.5813103775,49.9691744246,-0.0114151244903,
 ,7.54,1.12082370836,33.6127465271,0.00205285116447,-7.40534026562,0.21445311037,-166.664383515,0.138418915165,-37.44173202,49.9706079317,-0.0114113554324,
 ,7.56,1.12073721722,33.8088174222,0.0020512339578,-7.22470425044,0.214283896342,-166.484112195,0.138358541984,-37.3096127742,49.9720458436,-0.0114337161966,
 ,7.58,1.12065742281,33.9944503855,0.00204974096927,-7.05484099833,0.214127720851,-166.314592999,0.138307314267,-37.1845153133,49.9734921875,-0.0114860866088,
 ,7.6,1.12058256757,34.1695375676,0.0020483787589,-6.89565596071,0.213985268342,-166.155728369,0.138265037639,-37.0660103348,49.9749512734,-0.0115712698162,
 ,7.62,1.12051078821,34.3339382424,0.00204715378153,-6.74706859957,0.213857211786,-166.007434656,0.138231455134,-36.9536820116,49.9764275777,-0.0116910851123,
 ,7.64,1.12044034155,34.4874790529,0.00204607264258,-6.60901532086,0.213744239433,-165.869645094,0.138206274743,-36.8471363283,49.9779256161,-0.011846341115,
 ,7.66,1.12036980741,34.6299553843,0.00204514222209,-6.48145199145,0.213647067746,-165.742312395,0.138189190545,-36.7460119311,49.9794497938,-0.0120367141318,
 ,7.68,1.12029824538,34.7611340275,0.00204436964456,-6.36435596062,0.213566438218,-165.625410858,0.138179896082,-36.6499927482,49.9810042342,-0.0122605925156,
 ,7.7,1.12022529089,34.8807572055,0.00204376209504,-6.25772752613,0.213503098172,-165.518937933,0.138178089896,-36.5588213793,49.9825925933,-0.0125149549503,
 ,7.72,1.12015118524,34.9885479246,0.00204332650552,-6.1615907584,0.213457767956,-165.422915155,0.138183474282,-36.4723120921,49.9842178736,-0.0127953270645,
 ,7.74,1.12007674297,35.0842165409,0.0020430691503,-6.07599361205,0.213431098732,-165.337388362,0.1381957492,-36.3903622114,49.9858822481,-0.0130958204023,
 ,7.76,1.1200032674,35.1674684219,0.00204299520232,-6.00100718887,0.213423626139,-165.262427044,0.138214603792,-36.3129607073,49.987586899,-0.013409222223,
 ,7.78,1.11993242963,35.2380126195,0.00204310830264,-5.93672389316,0.213435725445,-165.198122585,0.138239708066,-36.2401929088,49.9893318701,-0.0137270930444,
 ,7.8,1.11986612893,35.2955715145,0.00204341019375,-5.88325423055,0.213467573338,-165.144585108,0.138270707038,-36.1722404907,49.9911159276,-0.0140398470019,
 ,7.82,1.11980635202,35.3398913774,0.00204390045619,-5.84072195418,0.21351912057,-165.10193865,0.138307219083,-36.1093762255,49.9929364307,-0.0143368281942,
 ,7.84,1.11975504727,35.3707536967,0.0020445763762,-5.80925741599,0.213590078305,-165.07031451,0.138348839534,-36.0519534343,49.9947892193,-0.0146064338789,
 ,7.86,1.1197140269,35.387986952,0.00204543295842,-5.78898918494,0.213679919622,-165.049842843,0.13839514981,-36.0003905869,49.9966685381,-0.0148363526467,
 ,7.88,1.11968490678,35.3914782986,0.00204646308319,-5.78003425113,0.213787896135,-165.040642817,0.138445731605,-35.9551520068,49.9985670231,-0.0150139723511,
 ,7.9,1.1196690888,35.3811844495,0.00204765779621,-5.78248740461,0.213913068393,-165.042811909,0.138500185036,-35.916726059,50.0004757731,-0.0151269724687,
 ,7.92,1.11966778652,35.3571409408,0.00204900670523,-5.79641050509,0.21405434746,-165.056415109,0.138558149085,-35.8856024547,50.0023845247,-0.0151640633268,
 ,7.94,1.11968208841,35.3194689943,0.00205049844987,-5.8218225148,0.214210544067,-165.081474847,0.138619322226,-35.8622503597,50.0042819329,-0.0151157879576,
 ,7.96,1.11971304763,35.2683793407,0.00205212120121,-5.85869102566,0.214380420841,-165.117962431,0.138683480862,-35.8470988153,50.0061559446,-0.014975274755,
 ,7.98,1.11976178136,35.2041726253,0.00205386314425,-5.90692589567,0.214562742679,-165.165791591,0.138750493084,-35.8405206174,50.0079942361,-0.0147388262864,
 ,8.0,1.11982955879,35.1272363432,0.00205571289517,-5.96637537689,0.214756320272,-165.22481452,0.138820325489,-35.8428202975,50.0097846783,-0.0144062500087,
 ,8.02,1.11991785582,35.0380385869,0.00205765981172,-6.0368248161,0.214960042421,-165.2948205,0.138893041313,-35.8542262959,50.0115157829,-0.0139808743988,
 ,8.04,1.12002835678,34.9371191932,0.00205969416637,-6.11799776446,0.215172893999,-165.375536931,0.138968788997,-35.8748869018,50.0131770905,-0.0134692417333,
 ,8.06,1.12016289078,34.8250790905,0.00206180716998,-6.20955907073,0.21539395828,-165.466632376,0.139047781509,-35.9048691316,50.0147594661,-0.0128805187203,
 ,8.08,1.12032330028,34.7025687428,0.00206399085519,-6.31111944567,0.21562240463,-165.567721056,0.139130268006,-35.9441594897,50.0162552817,-0.0122257103256,
 ,8.1,1.12051125238,34.5702765497,0.00206623785174,-6.42224085058,0.215857464929,-165.678368194,0.139216500729,-35.9926655379,50.0176584845,-0.0115167921602,
 ,8.12,1.12072801565,34.4289179,0.00206854110547,-6.54244215925,0.216098404123,-165.798095629,0.139306700954,-36.0502173659,50.0189645621,-0.0107658848237,
 ,8.14,1.12097423506,34.2792253409,0.00207089360458,-6.67120463239,0.21634449159,-165.926387238,0.139401028315,-36.1165683784,50.0201704304,-0.00998457531555,
 ,8.16,1.12124974178,34.1219400745,0.0020732881792,-6.80797688798,0.216594980173,-166.062693865,0.139499557578,-36.1913952043,50.0212742763,-0.00918344745919,
 ,8.18,1.12155343224,33.9578047941,0.00207571742797,-6.95217919842,0.216849098515,-166.206437584,0.139602266075,-36.2742969142,50.0222753807,-0.00837182553102,
 ,8.2,1.12188324137,33.7875577819,0.00207817380368,-7.10320709082,0.21710606,-166.357015247,0.139709033464,-36.3647940271,50.0231739417,-0.00755767976464,
 ,8.22,1.12223622019,33.6119282052,0.00208064985835,-7.26043419862,0.217365088362,-166.513801331,0.139819653662,-36.4623279546,50.0239709003,-0.00674760823083,
 ,8.24,1.12260871021,33.4316326487,0.00208313861495,-7.42321445165,0.217625456511,-166.676150105,0.139933856848,-36.5662615668,50.0246677633,-0.00594680984409,
 ,8.26,1.12299659057,33.2473730264,0.00208563400357,-7.59088357697,0.217886532063,-166.843397131,0.14005133778,-36.675881487,50.0252664123,-0.00515899850011,
 ,8.28,1.12339556059,33.0598360662,0.00208813127988,-7.76275997184,0.218147821031,-167.014860172,0.140171785604,-36.790402584,50.0257688911,-0.00438626443274,
 ,8.3,1.12380141467,32.8696944981,0.00209062733915,-7.93814505291,0.218409000573,-167.189839589,0.140294909975,-36.9089749578,50.0261771763,-0.00362894197297,
 ,8.32,1.12421026771,32.6776099153,0.00209312084951,-8.11632328433,0.218669932847,-167.367618436,0.140420458845,-37.0306935311,50.0264929474,-0.00288556907232,
 ,8.34,1.1246186989,32.484237051,0.0020956121532,-8.29656212044,0.218930654651,-167.547462503,0.140548224527,-37.1546101643,50.0267173829,-0.00215301121799,
 ,8.36,1.12502379635,32.2902290186,0.00209810292024,-8.47811219618,0.21919134118,-167.728620609,0.140678036509,-37.279747998,50.0268510069,-0.00142677580977,
 ,8.38,1.12542310335,32.0962429425,0.00210059557782,-8.66020796908,0.219452246349,-167.910325369,0.140809741629,-37.4051174964,50.0268936065,-0.000701484123657,
 ,8.4,1.12581448407,31.9029454085,0.00210309257413,-8.84206896548,0.219713625861,-168.091794564,0.14094317427,-37.5297334319,50.0268442239,2.85773466709e-05,
 ,8.42,1.12619594015,31.7110172528,0.00210559556392,-9.02290161023,0.219975652066,-168.27223309,0.141078120936,-37.6526318726,50.0267012167,0.000768916923459,
 ,8.44,1.12656541729,31.5211573401,0.00210810461593,-9.20190151561,0.220238331107,-168.450835352,0.14121428455,-37.7728861384,50.0264623714,0.00152437748407,
 ,8.46,1.1269206417,31.3340850984,0.00211061754205,-9.37825606936,0.220501432847,-168.626787947,0.141351254031,-37.8896207385,50.0261250552,0.00229878068655,
 ,8.48,1.12725902,31.1505416325,0.00211312943498,-9.55114721477,0.220764442509,-168.799272506,0.141488484078,-38.0020224873,50.0256863959,0.00309465829613,
 ,8.5,1.12757762498,30.9712892495,0.00211563247296,-9.71975446251,0.221026540281,-168.967468739,0.141625288731,-38.1093483021,50.0251434854,0.00391303113,
 ,8.52,1.12787327488,30.7971092111,0.00211811601774,-9.88325826296,0.221286611556,-169.13055783,0.141760850429,-38.2109295604,50.0244936095,0.0047532012728,
 ,8.54,1.12814269826,30.6287975307,0.00212056699468,-10.0408440881,0.221543286673,-169.287726483,0.141894244185,-38.3061732719,50.0237345018,0.00561254821439,
 ,8.56,1.12838276276,30.4671586841,0.00212297050942,-10.1917074979,0.221795005402,-169.438171958,0.1420244745,-38.3945606544,50.0228646199,0.00648634929721,
 ,8.58,1.12859073608,30.3129972033,0.00212531062767,-10.3350605715,0.222040098482,-169.581108423,0.142150521012,-38.4756439422,50.0218834322,0.00736766376258,
 ,8.6,1.12876454237,30.1671072601,0.00212757122738,-10.4701398699,0.222276876777,-169.71577484,0.142271387822,-38.5490423969,50.0207917003,0.00824732054497,
 ,8.62,1.12890297865,30.0302604817,0.00212973682888,-10.596216026,0.222503718081,-169.841444461,0.142386151113,-38.6144385153,50.0195917384,0.00911403549696,
 ,8.64,1.12900586165,29.9031923649,0.00213179331399,-10.7126048709,0.222719142447,-169.957435863,0.14249400005,-38.6715753522,50.0182876329,0.00995466373853,
 ,8.66,1.12907408592,29.78658775,0.00213372846727,-10.8186798249,0.222921868832,-170.063125246,0.142594266938,-38.7202556852,50.016885406,0.0107545775931,
 ,8.68,1.12910958632,29.6810658892,0.00213553229495,-10.9138851178,0.223110848555,-170.157959584,0.142686444042,-38.7603434687,50.0153931112,0.0114981548166,
